roi_id,x_min,x_max,y_min,y_max
1,995,1069,1048,1110
2,696,745,999,1043
3,735,770,944,983
4,839,892,880,922
5,544,616,933,988
6,194,251,1059,1110
7,180,240,927,973
8,429,494,747,820
9,787,840,522,565
10,912,972,328,382
