track_id,frame,area
1,0,92.0
1,1,95.0
1,2,94.0
1,3,95.0
1,4,95.0
1,5,96.0
1,6,96.0
1,7,96.0
1,8,97.0
1,9,98.0
1,10,95.0
1,11,99.0
1,12,99.0
1,13,96.0
1,14,94.0
1,15,99.0
1,16,98.0
1,17,94.0
1,18,102.0
1,19,94.0
1,20,100.0
1,21,98.0
1,22,94.0
1,23,99.0
1,24,96.0
1,25,100.0
1,26,98.0
1,27,100.0
1,28,98.0
1,29,97.0
1,30,98.0
1,31,96.0
1,32,95.0
1,33,98.0
1,34,95.0
1,35,96.0
1,36,97.0
1,37,95.0
1,38,88.0
1,39,86.0
1,40,83.0
1,41,84.0
1,42,86.0
1,43,86.0
1,44,85.0
1,45,84.0
1,46,83.0
1,47,82.0
1,48,85.0
1,49,84.0
1,50,84.0
1,51,84.0
1,52,84.0
1,53,84.0
1,54,84.0
1,55,87.0
1,56,86.0
1,57,89.0
1,58,86.0
1,59,93.0
1,60,94.0
1,61,99.0
1,62,96.0
1,63,96.0
1,64,95.0
1,65,93.0
1,66,99.0
1,67,97.0
1,68,94.0
1,69,98.0
1,70,93.0
1,71,96.0
1,72,94.0
1,73,96.0
1,74,96.0
1,75,95.0
1,76,97.0
1,77,95.0
1,78,95.0
1,79,96.0
1,80,96.0
2,0,89.0
2,1,88.0
2,2,89.0
2,3,91.0
2,4,90.0
2,5,90.0
2,6,90.0
2,7,90.0
2,8,91.0
2,9,92.0
2,10,90.0
2,11,91.0
2,12,90.0
2,13,90.0
2,14,90.0
2,15,89.0
2,16,89.0
2,17,90.0
2,18,89.0
2,19,89.0
2,20,87.0
2,21,90.0
2,22,90.0
2,23,89.0
2,24,91.0
2,25,88.0
2,26,90.0
2,27,86.0
2,28,86.0
2,29,85.0
2,30,88.0
2,31,87.0
2,32,90.0
2,33,84.0
2,34,84.0
2,35,87.0
2,36,86.0
2,37,82.0
2,38,83.0
2,39,83.0
2,40,82.0
2,41,77.0
2,42,79.0
2,43,76.0
2,44,76.0
2,45,80.0
2,46,79.0
2,47,79.0
2,48,79.0
2,49,79.0
2,50,79.0
2,51,79.0
2,52,79.0
2,53,78.0
2,54,78.0
2,55,79.0
2,56,80.0
2,57,80.0
2,58,85.0
2,59,85.0
2,60,88.0
2,61,89.0
2,62,90.0
2,63,91.0
2,64,90.0
2,65,89.0
2,66,89.0
2,67,89.0
2,68,90.0
2,69,91.0
2,70,90.0
2,71,87.0
2,72,84.0
2,73,88.0
2,74,90.0
2,75,89.0
2,76,91.0
2,77,86.0
2,78,88.0
2,79,88.0
2,80,88.0
3,0,75.0
3,1,76.0
3,2,80.0
3,3,78.0
3,4,75.0
3,5,76.0
3,6,76.0
3,7,77.0
3,8,76.0
3,9,76.0
3,10,77.0
3,11,75.0
3,12,74.0
3,13,76.0
3,14,75.0
3,15,75.0
3,16,76.0
3,17,74.0
3,18,72.0
3,19,76.0
3,20,75.0
3,21,75.0
3,22,76.0
3,23,77.0
3,24,76.0
3,25,75.0
3,26,76.0
3,27,80.0
3,28,75.0
3,29,74.0
3,30,79.0
3,31,77.0
3,32,76.0
3,33,75.0
3,34,75.0
3,35,74.0
3,36,73.0
3,37,76.0
3,38,70.0
3,39,69.0
3,40,67.0
3,41,67.0
3,42,68.0
3,43,68.0
3,44,69.0
3,45,69.0
3,46,68.0
3,47,68.0
3,48,69.0
3,49,66.0
3,50,65.0
3,51,66.0
3,52,66.0
3,53,65.0
3,54,67.0
3,55,68.0
3,56,65.0
3,57,71.0
3,58,69.0
3,59,74.0
3,60,75.0
3,61,75.0
3,62,75.0
3,63,76.0
3,64,76.0
3,65,76.0
3,66,73.0
3,67,73.0
3,68,74.0
3,69,72.0
3,70,75.0
3,71,73.0
3,72,72.0
3,73,74.0
3,74,74.0
3,75,74.0
3,76,74.0
3,77,71.0
3,78,74.0
3,79,77.0
3,80,74.0
4,0,88.0
4,1,88.0
4,2,87.0
4,3,89.0
4,4,89.0
4,5,88.0
4,6,90.0
4,7,87.0
4,8,87.0
4,9,86.0
