frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
43,86.0,76.0,68.0,86.0,78.0,95.0,114.0,90.0,94.0,77.0,84.0,71.0,86.0,81.0,93.0
44,85.0,76.0,69.0,85.0,75.0,97.0,114.0,91.0,92.0,78.0,85.0,72.0,87.0,82.0,95.0
45,84.0,80.0,69.0,85.0,79.0,93.0,115.0,90.0,92.0,78.0,86.0,71.0,88.0,80.0,95.0
46,83.0,79.0,68.0,84.0,80.0,93.0,119.0,90.0,96.0,80.0,87.0,74.0,85.0,80.0,97.0
47,82.0,79.0,68.0,86.0,79.0,93.0,114.0,89.0,92.0,77.0,83.0,72.0,86.0,80.0,96.0
48,85.0,79.0,69.0,85.0,79.0,90.0,116.0,90.0,93.0,76.0,82.0,73.0,88.0,80.0,97.0
49,84.0,79.0,66.0,84.0,80.0,93.0,117.0,89.0,92.0,78.0,83.0,71.0,89.0,80.0,95.0
50,84.0,79.0,65.0,82.0,80.0,92.0,116.0,88.0,90.0,75.0,81.0,73.0,88.0,80.0,95.0
51,84.0,79.0,66.0,81.0,76.0,95.0,114.0,88.0,88.0,76.0,80.0,72.0,88.0,81.0,93.0
52,84.0,79.0,66.0,79.0,78.0,95.0,117.0,88.0,88.0,76.0,82.0,71.0,88.0,82.0,96.0
53,84.0,78.0,65.0,81.0,78.0,94.0,113.0,86.0,92.0,79.0,81.0,71.0,92.0,82.0,97.0
54,84.0,78.0,67.0,81.0,71.0,94.0,112.0,91.0,91.0,78.0,85.0,71.0,93.0,83.0,95.0
55,87.0,79.0,68.0,82.0,75.0,99.0,116.0,89.0,93.0,75.0,84.0,74.0,92.0,83.0,95.0
56,86.0,80.0,65.0,83.0,79.0,103.0,118.0,91.0,93.0,78.0,87.0,72.0,96.0,83.0,95.0
57,89.0,80.0,71.0,89.0,82.0,102.0,124.0,91.0,95.0,81.0,87.0,75.0,92.0,82.0,93.0
58,86.0,85.0,69.0,87.0,82.0,101.0,127.0,92.0,98.0,80.0,88.0,81.0,92.0,88.0,99.0
59,93.0,85.0,74.0,88.0,86.0,96.0,128.0,96.0,100.0,80.0,90.0,79.0,91.0,89.0,99.0
60,94.0,88.0,75.0,94.0,86.0,99.0,131.0,99.0,102.0,80.0,88.0,81.0,93.0,90.0,101.0
61,99.0,89.0,75.0,92.0,88.0,100.0,135.0,98.0,104.0,82.0,92.0,82.0,92.0,94.0,102.0
62,96.0,90.0,75.0,90.0,86.0,103.0,135.0,97.0,103.0,82.0,93.0,83.0,96.0,94.0,101.0
63,96.0,91.0,76.0,95.0,87.0,106.0,132.0,100.0,105.0,84.0,95.0,84.0,97.0,92.0,105.0
64,95.0,90.0,76.0,93.0,88.0,105.0,131.0,96.0,104.0,82.0,93.0,83.0,94.0,92.0,107.0
65,93.0,89.0,76.0,93.0,86.0,106.0,132.0,99.0,107.0,81.0,93.0,83.0,95.0,92.0,108.0
