track_id,frame,area,time_s,dff
1,0,92.0,0,-0.05641025641025641
1,1,95.0,5,-0.02564102564102564
1,2,94.0,10,-0.035897435897435895
1,3,95.0,15,-0.02564102564102564
1,4,95.0,20,-0.02564102564102564
1,5,96.0,25,-0.015384615384615385
1,6,96.0,30,-0.015384615384615385
1,7,96.0,35,-0.015384615384615385
1,8,97.0,40,-0.005128205128205128
1,9,98.0,45,0.005128205128205128
1,10,95.0,50,-0.02564102564102564
1,11,99.0,55,0.015384615384615385
1,12,99.0,60,0.015384615384615385
1,13,96.0,65,-0.015384615384615385
1,14,94.0,70,-0.035897435897435895
1,15,99.0,75,0.015384615384615385
1,16,98.0,80,0.005128205128205128
1,17,94.0,85,-0.035897435897435895
1,18,102.0,90,0.046153846153846156
1,19,94.0,95,-0.035897435897435895
1,20,100.0,100,0.02564102564102564
1,21,98.0,105,0.005128205128205128
1,22,94.0,110,-0.035897435897435895
1,23,99.0,115,0.015384615384615385
1,24,96.0,120,-0.015384615384615385
1,25,100.0,125,0.02564102564102564
1,26,98.0,130,0.005128205128205128
1,27,100.0,135,0.02564102564102564
1,28,98.0,140,0.005128205128205128
1,29,97.0,145,-0.005128205128205128
1,30,98.0,150,0.005128205128205128
1,31,96.0,155,-0.015384615384615385
1,32,95.0,160,-0.02564102564102564
1,33,98.0,165,0.005128205128205128
1,34,95.0,170,-0.02564102564102564
1,35,96.0,175,-0.015384615384615385
1,36,97.0,180,-0.005128205128205128
1,37,95.0,185,-0.02564102564102564
1,38,88.0,190,-0.09743589743589744
1,39,86.0,195,-0.11794871794871795
1,40,83.0,200,-0.14871794871794872
1,41,84.0,205,-0.13846153846153847
1,42,86.0,210,-0.11794871794871795
1,43,86.0,215,-0.11794871794871795
1,44,85.0,220,-0.1282051282051282
1,45,84.0,225,-0.13846153846153847
1,46,83.0,230,-0.14871794871794872
1,47,82.0,235,-0.15897435897435896
1,48,85.0,240,-0.1282051282051282
1,49,84.0,245,-0.13846153846153847
1,50,84.0,250,-0.13846153846153847
1,51,84.0,255,-0.13846153846153847
1,52,84.0,260,-0.13846153846153847
1,53,84.0,265,-0.13846153846153847
1,54,84.0,270,-0.13846153846153847
1,55,87.0,275,-0.1076923076923077
1,56,86.0,280,-0.11794871794871795
1,57,89.0,285,-0.08717948717948718
1,58,86.0,290,-0.11794871794871795
1,59,93.0,295,-0.046153846153846156
1,60,94.0,300,-0.035897435897435895
1,61,99.0,305,0.015384615384615385
1,62,96.0,310,-0.015384615384615385
1,63,96.0,315,-0.015384615384615385
1,64,95.0,320,-0.02564102564102564
1,65,93.0,325,-0.046153846153846156
1,66,99.0,330,0.015384615384615385
1,67,97.0,335,-0.005128205128205128
1,68,94.0,340,-0.035897435897435895
1,69,98.0,345,0.005128205128205128
1,70,93.0,350,-0.046153846153846156
1,71,96.0,355,-0.015384615384615385
1,72,94.0,360,-0.035897435897435895
1,73,96.0,365,-0.015384615384615385
1,74,96.0,370,-0.015384615384615385
1,75,95.0,375,-0.02564102564102564
1,76,97.0,380,-0.005128205128205128
1,77,95.0,385,-0.02564102564102564
1,78,95.0,390,-0.02564102564102564
1,79,96.0,395,-0.015384615384615385
1,80,96.0,400,-0.015384615384615385
2,0,89.0,0,0.0253456221198157
2,1,88.0,5,0.013824884792626762
2,2,89.0,10,0.0253456221198157
2,3,91.0,15,0.04838709677419358
2,4,90.0,20,0.03686635944700464
2,5,90.0,25,0.03686635944700464
2,6,90.0,30,0.03686635944700464
2,7,90.0,35,0.03686635944700464
2,8,91.0,40,0.04838709677419358
2,9,92.0,45,0.05990783410138252
2,10,90.0,50,0.03686635944700464
2,11,91.0,55,0.04838709677419358
2,12,90.0,60,0.03686635944700464
2,13,90.0,65,0.03686635944700464
2,14,90.0,70,0.03686635944700464
2,15,89.0,75,0.0253456221198157
2,16,89.0,80,0.0253456221198157
2,17,90.0,85,0.03686635944700464
2,18,89.0,90,0.0253456221198157
2,19,89.0,95,0.0253456221198157
2,20,87.0,100,0.002304147465437821
2,21,90.0,105,0.03686635944700464
2,22,90.0,110,0.03686635944700464
2,23,89.0,115,0.0253456221198157
2,24,91.0,120,0.04838709677419358
2,25,88.0,125,0.013824884792626762
2,26,90.0,130,0.03686635944700464
2,27,86.0,135,-0.009216589861751119
2,28,86.0,140,-0.009216589861751119
2,29,85.0,145,-0.02073732718894006
2,30,88.0,150,0.013824884792626762
2,31,87.0,155,0.002304147465437821
2,32,90.0,160,0.03686635944700464
2,33,84.0,165,-0.032258064516129004
2,34,84.0,170,-0.032258064516129004
2,35,87.0,175,0.002304147465437821
2,36,86.0,180,-0.009216589861751119
2,37,82.0,185,-0.05529953917050688
2,38,83.0,190,-0.04377880184331794
2,39,83.0,195,-0.04377880184331794
2,40,82.0,200,-0.05529953917050688
2,41,77.0,205,-0.11290322580645158
2,42,79.0,210,-0.0898617511520737
2,43,76.0,215,-0.12442396313364053
2,44,76.0,220,-0.12442396313364053
2,45,80.0,225,-0.07834101382488476
2,46,79.0,230,-0.0898617511520737
2,47,79.0,235,-0.0898617511520737
