roi_id,x_min,x_max,y_min,y_max
1,1036,1082,1005,1058
2,969,1017,994,1038
3,520,555,733,795
4,525,580,627,680
5,690,747,516,569
6,930,975,262,309
7,259,297,101,140
8,270,307,45,80
9,334,371,86,132
10,663,710,4,33
