track_id,frame,area,time_s,dff
1,0,118.0,0,0.013745704467353903
1,1,117.0,5,0.005154639175257683
1,2,118.0,10,0.013745704467353903
1,3,115.0,15,-0.012027491408934755
1,4,119.0,20,0.02233676975945012
1,5,117.0,25,0.005154639175257683
1,6,119.0,30,0.02233676975945012
1,7,119.0,35,0.02233676975945012
1,8,116.0,40,-0.0034364261168385365
1,9,117.0,45,0.005154639175257683
1,10,117.0,50,0.005154639175257683
1,11,117.0,55,0.005154639175257683
1,12,115.0,60,-0.012027491408934755
1,13,117.0,65,0.005154639175257683
1,14,116.0,70,-0.0034364261168385365
1,15,118.0,75,0.013745704467353903
1,16,117.0,80,0.005154639175257683
1,17,116.0,85,-0.0034364261168385365
1,18,116.0,90,-0.0034364261168385365
1,19,116.0,95,-0.0034364261168385365
1,20,118.0,100,0.013745704467353903
1,21,117.0,105,0.005154639175257683
1,22,116.0,110,-0.0034364261168385365
1,23,116.0,115,-0.0034364261168385365
1,24,114.0,120,-0.020618556701030976
1,25,116.0,125,-0.0034364261168385365
1,26,116.0,130,-0.0034364261168385365
1,27,114.0,135,-0.020618556701030976
1,28,118.0,140,0.013745704467353903
1,29,117.0,145,0.005154639175257683
1,30,116.0,150,-0.0034364261168385365
1,31,119.0,155,0.02233676975945012
1,32,116.0,160,-0.0034364261168385365
1,33,117.0,165,0.005154639175257683
1,34,115.0,170,-0.012027491408934755
1,35,115.0,175,-0.012027491408934755
1,36,117.0,180,0.005154639175257683
1,37,117.0,185,0.005154639175257683
1,38,117.0,190,0.005154639175257683
1,39,114.0,195,-0.020618556701030976
1,40,110.0,200,-0.054982817869415855
1,41,107.0,205,-0.08075601374570451
1,42,106.0,210,-0.08934707903780073
1,43,105.0,215,-0.09793814432989695
1,44,105.0,220,-0.09793814432989695
1,45,104.0,225,-0.10652920962199317
1,46,105.0,230,-0.09793814432989695
1,47,104.0,235,-0.10652920962199317
1,48,104.0,240,-0.10652920962199317
1,49,103.0,245,-0.1151202749140894
1,50,101.0,250,-0.13230240549828182
1,51,105.0,255,-0.09793814432989695
1,52,104.0,260,-0.10652920962199317
1,53,106.0,265,-0.08934707903780073
1,54,103.0,270,-0.1151202749140894
1,55,104.0,275,-0.10652920962199317
1,56,103.0,280,-0.1151202749140894
1,57,107.0,285,-0.08075601374570451
1,58,112.0,290,-0.037800687285223414
1,59,117.0,295,0.005154639175257683
1,60,118.0,300,0.013745704467353903
1,61,120.0,305,0.03092783505154634
1,62,120.0,310,0.03092783505154634
1,63,120.0,315,0.03092783505154634
1,64,126.0,320,0.08247422680412365
1,65,121.0,325,0.03951890034364256
1,66,120.0,330,0.03092783505154634
1,67,122.0,335,0.04810996563573878
1,68,124.0,340,0.06529209621993122
1,69,122.0,345,0.04810996563573878
1,70,118.0,350,0.013745704467353903
1,71,120.0,355,0.03092783505154634
1,72,121.0,360,0.03951890034364256
1,73,120.0,365,0.03092783505154634
1,74,120.0,370,0.03092783505154634
1,75,122.0,375,0.04810996563573878
1,76,122.0,380,0.04810996563573878
1,77,121.0,385,0.03951890034364256
1,78,121.0,390,0.03951890034364256
1,79,122.0,395,0.04810996563573878
1,80,121.0,400,0.03951890034364256
2,0,100.0,0,0.034126163391933785
2,1,100.0,5,0.034126163391933785
2,2,101.0,10,0.04446742502585312
2,3,98.0,15,0.01344364012409511
2,4,102.0,20,0.05480868665977246
2,5,103.0,25,0.06514994829369179
2,6,103.0,30,0.06514994829369179
2,7,104.0,35,0.07549120992761113
2,8,103.0,40,0.06514994829369179
2,9,104.0,45,0.07549120992761113
2,10,107.0,50,0.10651499482936914
2,11,106.0,55,0.0961737331954498
2,12,103.0,60,0.06514994829369179
2,13,105.0,65,0.08583247156153047
2,14,105.0,70,0.08583247156153047
2,15,103.0,75,0.06514994829369179
2,16,103.0,80,0.06514994829369179
2,17,101.0,85,0.04446742502585312
2,18,102.0,90,0.05480868665977246
2,19,101.0,95,0.04446742502585312
2,20,102.0,100,0.05480868665977246
2,21,96.0,105,-0.007238883143743566
2,22,101.0,110,0.04446742502585312
2,23,100.0,115,0.034126163391933785
2,24,101.0,120,0.04446742502585312
2,25,101.0,125,0.04446742502585312
2,26,97.0,130,0.0031023784901757718
2,27,93.0,135,-0.03826266804550158
2,28,99.0,140,0.023784901758014447
2,29,96.0,145,-0.007238883143743566
2,30,97.0,150,0.0031023784901757718
2,31,92.0,155,-0.04860392967942092
2,32,96.0,160,-0.007238883143743566
2,33,100.0,165,0.034126163391933785
2,34,96.0,170,-0.007238883143743566
2,35,98.0,175,0.01344364012409511
2,36,97.0,180,0.0031023784901757718
2,37,101.0,185,0.04446742502585312
2,38,105.0,190,0.08583247156153047
2,39,98.0,195,0.01344364012409511
2,40,92.0,200,-0.04860392967942092
2,41,85.0,205,-0.12099276111685628
2,42,87.0,210,-0.1003102378490176
2,43,89.0,215,-0.07962771458117893
2,44,87.0,220,-0.1003102378490176
