roi_id,x_min,x_max,y_min,y_max
1,6,54,999,1071
2,480,548,1024,1069
3,418,489,909,951
4,520,595,911,982
5,176,246,755,814
6,862,917,602,662
7,815,877,494,551
8,956,1007,641,688
9,1039,1097,517,588
10,994,1040,458,497
11,929,988,24,84
12,394,441,595,659
13,516,547,552,598
14,450,507,502,537
15,541,588,449,513
