frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
43,176.0,134.0,156.0,152.0,140.0,103.0,101.0,72.0,122.0,79.0,130.0,164.0,93.0,112.0,145.0
44,178.0,133.0,157.0,150.0,143.0,96.0,107.0,68.0,118.0,80.0,129.0,163.0,96.0,112.0,143.0
45,183.0,134.0,155.0,152.0,138.0,97.0,108.0,67.0,131.0,80.0,132.0,164.0,95.0,114.0,143.0
46,185.0,136.0,156.0,153.0,140.0,101.0,107.0,64.0,125.0,77.0,133.0,158.0,96.0,114.0,143.0
47,181.0,127.0,151.0,154.0,141.0,101.0,109.0,71.0,131.0,80.0,130.0,159.0,93.0,112.0,141.0
48,181.0,132.0,154.0,155.0,143.0,103.0,109.0,71.0,130.0,83.0,129.0,160.0,96.0,114.0,143.0
49,179.0,136.0,155.0,151.0,140.0,100.0,103.0,77.0,131.0,80.0,128.0,156.0,94.0,115.0,145.0
50,177.0,134.0,150.0,152.0,135.0,99.0,107.0,69.0,123.0,81.0,129.0,157.0,96.0,113.0,144.0
51,177.0,136.0,151.0,156.0,138.0,103.0,106.0,67.0,127.0,79.0,133.0,162.0,96.0,117.0,141.0
52,182.0,136.0,150.0,153.0,141.0,98.0,110.0,71.0,126.0,82.0,130.0,158.0,97.0,112.0,137.0
53,174.0,135.0,155.0,153.0,140.0,103.0,106.0,72.0,125.0,78.0,129.0,156.0,94.0,113.0,143.0
54,182.0,136.0,152.0,153.0,144.0,100.0,102.0,71.0,127.0,76.0,130.0,162.0,94.0,116.0,143.0
55,178.0,132.0,146.0,149.0,140.0,99.0,102.0,65.0,125.0,78.0,133.0,163.0,95.0,115.0,143.0
56,184.0,131.0,150.0,150.0,137.0,106.0,105.0,68.0,127.0,78.0,126.0,161.0,94.0,115.0,143.0
57,177.0,133.0,154.0,149.0,138.0,103.0,107.0,70.0,128.0,82.0,131.0,159.0,95.0,113.0,142.0
58,180.0,137.0,148.0,148.0,136.0,99.0,111.0,70.0,127.0,79.0,131.0,161.0,96.0,111.0,143.0
59,182.0,134.0,154.0,154.0,137.0,100.0,106.0,77.0,127.0,81.0,128.0,160.0,95.0,114.0,144.0
60,178.0,132.0,156.0,152.0,140.0,100.0,109.0,66.0,126.0,80.0,131.0,154.0,95.0,116.0,140.0
61,182.0,134.0,156.0,148.0,139.0,100.0,110.0,67.0,125.0,82.0,131.0,155.0,95.0,116.0,142.0
62,176.0,134.0,155.0,153.0,141.0,101.0,110.0,68.0,124.0,81.0,131.0,160.0,96.0,114.0,141.0
63,182.0,138.0,155.0,150.0,139.0,101.0,109.0,73.0,126.0,79.0,130.0,159.0,95.0,111.0,139.0
64,182.0,136.0,152.0,156.0,136.0,102.0,104.0,68.0,122.0,83.0,128.0,165.0,95.0,111.0,141.0
65,183.0,136.0,155.0,150.0,136.0,99.0,108.0,66.0,121.0,82.0,134.0,163.0,95.0,112.0,141.0
66,180.0,134.0,149.0,151.0,142.0,101.0,107.0,71.0,123.0,81.0,129.0,168.0,94.0,115.0,141.0
67,185.0,137.0,154.0,151.0,144.0,101.0,110.0,69.0,125.0,84.0,131.0,159.0,94.0,114.0,139.0
68,180.0,137.0,158.0,152.0,147.0,102.0,109.0,68.0,122.0,80.0,134.0,163.0,95.0,110.0,138.0
69,180.0,133.0,154.0,151.0,142.0,100.0,109.0,73.0,124.0,84.0,133.0,159.0,93.0,114.0,141.0
70,177.0,130.0,151.0,151.0,140.0,98.0,107.0,65.0,127.0,83.0,132.0,165.0,94.0,110.0,141.0
71,177.0,136.0,155.0,151.0,143.0,103.0,110.0,76.0,125.0,82.0,126.0,166.0,94.0,112.0,142.0
72,182.0,138.0,147.0,150.0,141.0,101.0,109.0,75.0,124.0,82.0,131.0,161.0,94.0,116.0,143.0
73,178.0,134.0,153.0,152.0,145.0,103.0,111.0,76.0,124.0,84.0,133.0,167.0,96.0,109.0,142.0
74,181.0,133.0,155.0,153.0,139.0,103.0,111.0,73.0,124.0,83.0,134.0,162.0,92.0,116.0,137.0
75,177.0,132.0,155.0,153.0,142.0,98.0,106.0,74.0,124.0,83.0,132.0,167.0,95.0,115.0,139.0
76,180.0,137.0,153.0,152.0,141.0,101.0,102.0,71.0,123.0,83.0,127.0,166.0,93.0,120.0,140.0
77,175.0,134.0,151.0,149.0,141.0,98.0,103.0,77.0,125.0,83.0,132.0,162.0,95.0,116.0,140.0
78,185.0,137.0,154.0,150.0,137.0,95.0,103.0,76.0,123.0,83.0,132.0,162.0,95.0,115.0,142.0
79,181.0,135.0,155.0,152.0,145.0,99.0,102.0,74.0,126.0,83.0,132.0,166.0,94.0,114.0,135.0
80,181.0,136.0,153.0,149.0,143.0,100.0,99.0,76.0,123.0,81.0,129.0,163.0,94.0,113.0,137.0
