Concentration_mM,Mean_Plateau,Std_Plateau
200,0.8452097381672838,0.09112632391855818
300,0.719942982513032,0.09388964639914171
400,0.6091414641480638,0.1228981366001976
500,0.46610924519096864,0.21775574600463266
