Concentration_mM,File,B
200,freq-cell6.csv,0.22151832643880726
200,freq-cell13.csv,0.22851369725657697
200,freq-cell7.csv,0.13137773015520549
200,freq-cell11.csv,0.30712659373657397
200,freq-cell15.csv,0.16130984999734135
200,freq-cell3.csv,0.135420721335293
200,freq-cell9.csv,0.1002825750062766
200,freq-cell8.csv,0.2536085518405214
300,freq-cell6.csv,0.3504504111639624
300,freq-cell13.csv,0.38094623917574844
300,freq-cell7.csv,0.2018798637534708
300,freq-cell5.csv,0.5346083051126748
300,freq-cell11.csv,0.308182198896634
300,freq-cell3.csv,0.6677106044989195
300,freq-cell2.csv,0.16813080063439953
300,freq-cell9.csv,0.2703476114802873
400,freq-cell12.csv,0.582692470403827
400,freq-cell13.csv,0.7069275704609919
400,freq-cell7.csv,0.37789305461181394
400,freq-cell10.csv,0.3016640895920749
400,freq-cell15.csv,0.5165407607837417
400,freq-cell1.csv,0.5132963266301117
400,freq-cell2.csv,0.31209840110250636
400,freq-cell8.csv,0.2414426222027119
500,freq-cell13.csv,0.5665103846981101
500,freq-cell14.csv,0.2736196875671658
500,freq-cell3.csv,0.38943609736496493
500,freq-cell2.csv,0.4230710433057207
