Concentration_mM,File,D
200,freq-cell6.csv,0.802711178088037
200,freq-cell13.csv,0.5804882314017649
200,freq-cell7.csv,0.6399183511191499
200,freq-cell11.csv,0.6288223208900711
200,freq-cell15.csv,0.6589552211472754
200,freq-cell3.csv,0.6188919827415968
200,freq-cell9.csv,0.7478143229484772
200,freq-cell8.csv,0.5449182512353028
300,freq-cell6.csv,0.5911197472734916
300,freq-cell13.csv,0.35038383950119895
300,freq-cell7.csv,0.4913862497824081
300,freq-cell5.csv,0.10320488960485766
300,freq-cell11.csv,0.3688354166845958
300,freq-cell3.csv,1.663999850100274e-14
300,freq-cell2.csv,0.5393938475297037
300,freq-cell9.csv,0.43296383501188707
400,freq-cell12.csv,8.526932612100963e-24
400,freq-cell13.csv,0.09180636667196417
400,freq-cell7.csv,0.13654111720819315
400,freq-cell10.csv,0.15096792603519324
400,freq-cell15.csv,0.2378703811428858
400,freq-cell1.csv,3.9142077302091465e-17
400,freq-cell2.csv,0.26850460630867107
400,freq-cell8.csv,0.4348860200298233
500,freq-cell13.csv,0.21179976782791307
500,freq-cell14.csv,4.319032442941509e-18
500,freq-cell3.csv,1.6881451612260905e-22
500,freq-cell2.csv,1.2970970484997098e-19
