,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,6.593631771376699
7,7.941970454325003
8,9.119994267175349
9,10.276018200510904
10,12.558848501685759
11,13.257396097067458
12,13.257396097067458
13,18.284415213934924
14,19.193526782636912
15,20.78807402350841
16,21.00239227110552
17,26.2536849839399
18,26.50670578274788
19,28.18232453378003
20,28.45779740447263
21,28.6659512865278
22,28.675857545095425
23,28.675857545095425
24,29.259608728214292
25,29.259608728214292
26,33.2712704346966
27,33.679955681201555
28,33.679955681201555
29,35.95184379290496
30,36.396043672127874
31,36.396043672127874
32,36.403496866912974
33,36.403496866912974
34,36.64689570523862
35,36.64689570523862
36,36.87355778933353
37,36.87355778933353
38,38.06385193005674
39,39.137696545330435
40,40.8660942238877
41,40.8660942238877
42,40.8660942238877
43,41.14859700518441
44,41.14859700518441
45,42.17127829798207
46,41.14859700518441
47,42.17127829798207
48,42.1988979465243
49,42.1988979465243
50,42.22330881554615
51,43.11039392882247
52,43.11039392882247
53,43.11039392882247
54,43.65207507138702
55,43.11039392882247
56,43.65207507138702
57,43.65207507138702
58,43.65207507138702
59,43.65207507138702
60,43.11039392882247
61,43.105369842239206
62,43.11039392882247
63,43.11039392882247
64,43.11039392882247
65,43.11039392882247
66,43.11039392882247
67,43.11039392882247
68,43.65207507138702
69,43.65207507138702
70,43.65987558033476
71,43.65987558033476
72,43.65987558033476
73,43.67547048337522
74,43.69794079572609
75,43.69794079572609
76,43.69794079572609
77,43.69794079572609
78,44.62293813518996
79,44.62293813518996
80,44.62293813518996
81,43.69794079572609
82,43.69794079572609
83,44.62293813518996
84,44.62293813518996
85,44.62293813518996
86,43.67547048337522
87,43.67547048337522
88,43.65987558033476
89,43.65987558033476
90,44.62293813518996
91,44.62293813518996
92,44.62293813518996
93,44.62293813518996
94,43.65987558033476
95,44.62293813518996
96,44.62293813518996
97,44.62293813518996
98,43.65987558033476
99,43.65207507138702
100,43.65987558033476
101,43.65987558033476
102,43.65987558033476
103,43.65987558033476
104,43.65987558033476
105,43.65207507138702
106,43.11039392882247
107,43.11039392882247
108,43.11039392882247
109,43.65987558033476
110,43.105369842239206
111,41.14859700518441
112,41.14859700518441
113,43.105369842239206
114,43.65987558033476
115,43.65987558033476
116,43.708707730556256
117,43.65987558033476
118,43.65987558033476
119,43.65987558033476
120,43.105369842239206
121,43.105369842239206
122,43.105369842239206
123,41.14859700518441
124,43.105369842239206
125,43.105369842239206
126,43.65987558033476
127,43.105369842239206
128,43.105369842239206
129,43.105369842239206
130,43.105369842239206
131,43.105369842239206
132,43.105369842239206
133,43.105369842239206
134,43.105369842239206
135,43.105369842239206
136,43.105369842239206
137,43.65987558033476
138,43.105369842239206
139,43.105369842239206
140,43.105369842239206
141,43.105369842239206
142,43.105369842239206
143,42.45289764495965
144,43.105369842239206
145,42.45289764495965
146,42.45289764495965
147,42.45289764495965
148,42.45289764495965
149,43.105369842239206
150,42.45289764495965
151,43.105369842239206
152,42.45289764495965
153,39.564706967361026
154,42.45289764495965
155,43.708707730556256
156,42.45289764495965
157,42.45289764495965
158,42.45289764495965
159,42.45289764495965
160,39.564706967361026
161,39.564706967361026
162,39.32376835987415
163,39.20070933347036
164,39.20070933347036
165,39.20070933347036
166,39.20070933347036
167,39.32376835987415
168,39.32376835987415
169,39.32376835987415
170,39.345172010545824
171,39.32376835987415
172,39.345172010545824
173,39.345172010545824
174,39.345172010545824
175,42.45289764495965
176,42.45289764495965
177,43.40149217702833
178,42.45289764495965
179,43.40149217702833
180,42.45289764495965
181,39.345172010545824
182,42.45289764495965
183,39.345172010545824
184,42.45289764495965
185,43.40149217702833
186,42.45289764495965
187,43.40149217702833
188,43.40149217702833
189,43.40149217702833
190,43.708707730556256
191,43.40149217702833
192,42.45289764495965
193,42.45289764495965
194,42.45289764495965
195,42.45289764495965
196,42.45289764495965
197,42.45289764495965
198,42.45289764495965
199,42.45289764495965
200,42.45289764495965
201,43.40149217702833
202,43.40149217702833
203,43.40149217702833
204,42.45289764495965
205,42.45289764495965
206,41.542499645956845
207,39.453287523460375
208,39.453287523460375
209,39.453287523460375
210,39.453287523460375
211,41.542499645956845
212,41.542499645956845
213,41.542499645956845
214,42.45289764495965
215,41.542499645956845
216,42.45289764495965
217,42.45289764495965
218,42.45289764495965
219,43.40149217702833
220,42.45289764495965
221,43.40149217702833
222,42.45289764495965
223,43.40149217702833
224,43.40149217702833
225,43.40149217702833
226,43.40149217702833
227,41.542499645956845
228,41.542499645956845
229,41.542499645956845
230,41.542499645956845
231,41.542499645956845
232,41.542499645956845
233,41.542499645956845
234,41.542499645956845
235,41.542499645956845
236,41.542499645956845
237,41.542499645956845
238,41.542499645956845
239,43.40149217702833
240,43.40149217702833
241,43.40149217702833
242,43.40149217702833
243,43.86780399278257
244,43.93412315851407
245,43.86780399278257
246,43.86780399278257
247,43.93412315851407
248,43.93412315851407
249,43.93412315851407
250,43.93412315851407
251,45.716948241408524
252,44.25448371364342
253,44.25448371364342
254,45.716948241408524
255,45.716948241408524
256,45.716948241408524
257,45.716948241408524
258,44.25448371364342
259,45.716948241408524
260,44.25448371364342
261,44.03846432795757
262,44.25448371364342
263,44.25448371364342
264,46.80345794180089
265,44.25448371364342
266,44.25448371364342
267,44.25448371364342
268,44.03846432795757
269,44.25448371364342
270,44.25448371364342
271,46.80345794180089
272,46.91581939763883
273,46.80345794180089
274,46.91581939763883
275,46.80345794180089
276,44.25448371364342
277,46.80345794180089
278,44.25448371364342
279,46.80345794180089
280,46.8638707696208
281,46.8638707696208
282,46.8638707696208
283,46.91581939763883
284,46.91581939763883
285,46.91581939763883
286,46.91581939763883
287,47.272459930824155
288,47.272459930824155
289,47.272459930824155
290,47.272459930824155
291,46.91581939763883
292,46.91581939763883
293,46.91581939763883
294,46.91581939763883
295,47.15167921232713
296,46.91581939763883
297,47.15167921232713
298,47.15167921232713
299,47.15167921232713
300,47.15167921232713
301,47.15167921232713
302,46.91581939763883
303,46.91581939763883
304,46.91581939763883
305,46.91581939763883
306,46.91581939763883
307,46.8638707696208
308,46.8638707696208
309,46.8638707696208
310,46.8638707696208
311,46.8638707696208
312,46.8638707696208
313,46.8638707696208
314,46.8638707696208
315,46.91581939763883
316,46.8638707696208
317,46.8638707696208
318,46.91581939763883
319,46.8638707696208
320,46.91581939763883
321,46.8638707696208
322,46.8638707696208
323,46.91581939763883
324,46.8638707696208
325,46.91581939763883
326,46.91581939763883
327,46.91581939763883
328,47.15167921232713
329,47.15167921232713
330,46.91581939763883
331,46.8638707696208
332,46.91581939763883
333,46.8638707696208
334,46.10336466263895
335,46.10336466263895
336,46.10336466263895
337,46.10336466263895
338,46.10336466263895
339,46.10336466263895
340,46.10336466263895
341,44.25448371364342
342,44.25448371364342
343,44.03846432795757
344,44.03846432795757
345,44.03846432795757
