frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,113,107,124,97,92,110,109,94,89,112
1,112,107,127,94,94,113,106,99,89,107
2,112,107,125,94,87,112,106,101,89,114
3,115,108,129,90,87,112,107,100,90,112
4,115,107,127,94,89,111,104,99,89,113
5,114,108,127,92,88,111,107,100,90,112
6,114,107,129,92,87,109,106,102,92,114
7,112,108,130,94,91,112,108,102,91,114
8,114,105,132,97,91,113,110,99,93,111
9,113,107,132,94,96,109,106,100,91,114
10,112,104,129,94,95,110,110,100,89,109
11,109,105,129,95,96,108,108,101,91,109
12,111,105,130,95,92,111,111,95,91,110
13,110,103,129,95,94,110,110,94,90,108
14,111,105,128,97,93,108,108,99,92,109
15,109,105,127,96,93,111,111,98,94,111
16,112,105,128,95,94,110,110,103,90,110
17,114,109,125,95,94,110,110,97,90,111
18,112,108,127,94,92,109,109,97,90,109
19,112,108,123,94,94,112,112,97,90,107
20,112,111,125,93,93,108,108,97,91,112
21,110,108,124,93,92,113,113,99,89,113
22,111,107,124,94,90,110,110,101,89,113
23,113,109,125,95,90,110,110,95,91,110
24,114,110,126,95,91,109,109,97,92,111
25,112,109,123,97,92,111,111,99,91,110
26,115,107,126,97,93,114,114,102,90,114
27,119,110,125,96,94,109,109,101,91,112
28,113,107,126,95,94,109,109,101,92,113
29,114,107,122,98,94,114,114,101,91,112
30,112,109,124,97,94,110,110,101,91,113
31,114,109,125,97,95,111,111,97,89,116
32,112,106,121,97,96,108,108,99,88,110
33,111,108,125,95,95,110,110,101,88,110
34,112,108,126,93,93,114,114,103,88,111
35,112,108,126,95,96,114,114,101,89,114
36,112,108,128,91,97,113,113,97,89,112
37,111,109,128,92,89,110,110,102,88,114
38,113,108,125,93,96,110,110,100,89,113
39,112,108,128,92,93,111,111,98,90,113
40,113,108,125,93,88,110,110,96,91,108
41,103,107,124,89,86,104,104,99,85,108
42,100,101,118,85,83,103,103,93,86,104
43,99,101,114,85,84,99,99,96,84,100
44,103,99,112,80,85,99,99,87,82,100
45,100,100,111,82,84,96,96,86,82,99
46,102,93,114,83,85,94,94,90,82,105
47,103,98,112,85,83,96,96,84,82,102
48,101,99,117,84,83,98,98,93,84,85
49,103,98,110,83,83,100,100,91,82,100
50,98,96,112,83,82,98,98,92,83,99
51,97,93,114,84,84,98,98,93,84,102
52,99,93,114,82,83,97,97,92,84,100
53,104,90,113,80,81,98,98,93,86,100
54,100,90,115,81,82,96,96,91,84,103
55,101,96,112,83,80,96,96,89,84,103
56,107,99,112,89,83,97,97,93,82,99
57,102,102,117,89,82,102,102,93,82,102
58,101,99,119,91,84,108,108,94,81,107
59,103,109,120,91,87,110,110,96,84,107
60,104,106,119,94,91,109,109,97,82,109
61,101,102,122,94,87,111,111,97,83,107
62,105,105,123,97,94,112,112,95,86,107
63,108,100,123,96,92,112,112,96,88,108
64,106,108,122,97,91,109,109,98,87,109
65,105,108,122,98,91,111,111,96,89,108
66,105,106,122,96,86,111,111,94,88,107
67,106,105,120,94,89,113,113,98,86,106
68,109,100,120,95,94,110,110,97,86,108
69,108,105,122,94,91,108,108,96,88,105
70,108,103,122,94,93,109,109,95,85,107
71,106,98,123,96,93,110,110,94,87,111
72,106,101,122,97,93,113,113,95,86,111
73,106,103,123,92,93,112,112,95,87,112
74,106,99,121,93,93,111,111,97,90,111
75,108,101,124,93,92,110,110,98,86,112
76,107,102,123,93,90,112,112,96,89,112
77,105,101,121,94,94,110,110,91,86,113
78,108,104,122,94,94,110,110,96,87,113
79,107,97,123,93,94,109,109,94,88,112
80,104,101,126,95,92,108,108,94,90,111
