track_id,frame,area,time_s,dff
1,0,147.0,0,0.010309278350515464
1,1,151.0,5,0.037800687285223365
1,2,146.0,10,0.003436426116838488
1,3,145.0,15,-0.003436426116838488
1,4,146.0,20,0.003436426116838488
1,5,144.0,25,-0.010309278350515464
1,6,143.0,30,-0.01718213058419244
1,7,146.0,35,0.003436426116838488
1,8,143.0,40,-0.01718213058419244
1,9,144.0,45,-0.010309278350515464
1,10,136.0,50,-0.06529209621993128
1,11,146.0,55,0.003436426116838488
1,12,146.0,60,0.003436426116838488
1,13,146.0,65,0.003436426116838488
1,14,148.0,70,0.01718213058419244
1,15,148.0,75,0.01718213058419244
1,16,143.0,80,-0.01718213058419244
1,17,143.0,85,-0.01718213058419244
1,18,146.0,90,0.003436426116838488
1,19,145.0,95,-0.003436426116838488
1,20,142.0,100,-0.024054982817869417
1,21,148.0,105,0.01718213058419244
1,22,144.0,110,-0.010309278350515464
1,23,142.0,115,-0.024054982817869417
1,24,141.0,120,-0.030927835051546393
1,25,147.0,125,0.010309278350515464
1,26,144.0,130,-0.010309278350515464
1,27,148.0,135,0.01718213058419244
1,28,145.0,140,-0.003436426116838488
1,29,150.0,145,0.030927835051546393
1,30,145.0,150,-0.003436426116838488
1,31,146.0,155,0.003436426116838488
1,32,145.0,160,-0.003436426116838488
1,33,139.0,165,-0.044673539518900345
1,34,146.0,170,0.003436426116838488
1,35,142.0,175,-0.024054982817869417
1,36,144.0,180,-0.010309278350515464
1,37,147.0,185,0.010309278350515464
1,38,145.0,190,-0.003436426116838488
1,39,147.0,195,0.010309278350515464
1,40,142.0,200,-0.024054982817869417
1,41,141.0,205,-0.030927835051546393
1,42,142.0,210,-0.024054982817869417
1,43,143.0,215,-0.01718213058419244
1,44,146.0,220,0.003436426116838488
1,45,142.0,225,-0.024054982817869417
1,46,143.0,230,-0.01718213058419244
1,47,148.0,235,0.01718213058419244
1,48,146.0,240,0.003436426116838488
1,49,141.0,245,-0.030927835051546393
1,50,142.0,250,-0.024054982817869417
1,51,146.0,255,0.003436426116838488
1,52,148.0,260,0.01718213058419244
1,53,145.0,265,-0.003436426116838488
1,54,144.0,270,-0.010309278350515464
1,55,142.0,275,-0.024054982817869417
1,56,143.0,280,-0.01718213058419244
1,57,147.0,285,0.010309278350515464
1,58,141.0,290,-0.030927835051546393
1,59,147.0,295,0.010309278350515464
1,60,145.0,300,-0.003436426116838488
1,61,146.0,305,0.003436426116838488
1,62,147.0,310,0.010309278350515464
1,63,149.0,315,0.024054982817869417
