roi_id,x_min,x_max,y_min,y_max
1,692,733,1008,1059
2,651,704,764,817
3,822,888,454,518
4,576,632,466,524
5,365,442,370,409
6,459,525,231,264
7,237,299,159,193
8,189,248,77,135
9,1072,1136,990,1054
10,1072,1123,868,931
11,732,791,350,386
12,590,648,234,291
13,544,602,1089,1141
14,104,147,497,547
15,372,416,568,627
