frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11
59,117.0,98.0,83.0,97.0,62.0,126.0,76.0,90.0,75.0,86.0,95.0
60,118.0,99.0,84.0,101.0,62.0,124.0,78.0,90.0,75.0,88.0,100.0
61,120.0,103.0,86.0,105.0,63.0,125.0,80.0,92.0,76.0,91.0,100.0
62,120.0,102.0,86.0,108.0,67.0,130.0,77.0,93.0,75.0,91.0,102.0
63,120.0,102.0,87.0,105.0,68.0,128.0,82.0,97.0,76.0,91.0,103.0
64,126.0,101.0,85.0,107.0,66.0,127.0,82.0,94.0,76.0,88.0,103.0
65,121.0,103.0,86.0,104.0,65.0,129.0,78.0,92.0,77.0,90.0,103.0
66,120.0,102.0,86.0,105.0,68.0,128.0,80.0,92.0,79.0,86.0,103.0
67,122.0,108.0,87.0,108.0,68.0,126.0,81.0,96.0,78.0,90.0,101.0
68,124.0,102.0,85.0,106.0,70.0,131.0,82.0,96.0,75.0,89.0,103.0
69,122.0,105.0,86.0,105.0,67.0,131.0,80.0,96.0,79.0,91.0,101.0
70,118.0,106.0,87.0,104.0,66.0,129.0,81.0,96.0,76.0,89.0,102.0
71,120.0,106.0,86.0,106.0,63.0,128.0,81.0,96.0,78.0,89.0,102.0
72,121.0,103.0,85.0,104.0,68.0,131.0,80.0,95.0,77.0,89.0,99.0
73,120.0,102.0,88.0,106.0,68.0,133.0,82.0,95.0,80.0,89.0,101.0
74,120.0,103.0,86.0,106.0,67.0,132.0,82.0,93.0,77.0,87.0,99.0
75,122.0,105.0,84.0,104.0,68.0,133.0,84.0,94.0,77.0,87.0,97.0
76,122.0,106.0,88.0,109.0,67.0,132.0,83.0,96.0,76.0,83.0,101.0
77,121.0,104.0,87.0,106.0,65.0,134.0,82.0,96.0,75.0,87.0,99.0
78,121.0,101.0,90.0,105.0,65.0,136.0,82.0,99.0,77.0,89.0,99.0
79,122.0,103.0,85.0,106.0,67.0,140.0,84.0,95.0,77.0,86.0,100.0
80,121.0,101.0,87.0,107.0,65.0,143.0,82.0,95.0,77.0,85.0,100.0
