track_id,frame,area
1,0,92
1,1,95
1,2,94
1,3,95
1,4,95
1,5,96
1,6,96
1,7,96
1,8,97
1,9,98
1,10,95
1,11,99
1,12,99
1,13,96
1,14,94
1,15,99
1,16,98
1,17,94
1,18,102
1,19,94
1,20,100
1,21,98
1,22,94
1,23,99
1,24,96
1,25,100
1,26,98
1,27,100
1,28,98
1,29,97
1,30,98
1,31,96
1,32,95
1,33,98
1,34,95
1,35,96
1,36,97
1,37,95
1,38,88
1,39,86
1,40,83
1,41,84
1,42,86
1,43,86
1,44,85
1,45,84
1,46,83
1,47,82
1,48,85
1,49,84
1,50,84
1,51,84
1,52,84
1,53,84
1,54,84
1,55,87
1,56,86
1,57,89
1,58,86
1,59,93
1,60,94
1,61,99
1,62,96
1,63,96
1,64,95
1,65,93
1,66,99
1,67,97
1,68,94
1,69,98
1,70,93
1,71,96
1,72,94
1,73,96
1,74,96
1,75,95
1,76,97
1,77,95
1,78,95
1,79,96
1,80,96
2,0,89
2,1,88
2,2,89
2,3,91
2,4,90
2,5,90
2,6,90
2,7,90
2,8,91
2,9,92
2,10,90
2,11,91
2,12,90
2,13,90
2,14,90
2,15,89
2,16,89
2,17,90
2,18,89
2,19,89
2,20,87
2,21,90
2,22,90
2,23,89
2,24,91
2,25,88
2,26,90
2,27,86
2,28,86
2,29,85
2,30,88
2,31,87
2,32,90
2,33,84
2,34,84
2,35,87
2,36,86
2,37,82
2,38,83
2,39,83
2,40,82
2,41,77
2,42,79
2,43,76
2,44,76
2,45,80
2,46,79
2,47,79
2,48,79
2,49,79
2,50,79
2,51,79
2,52,79
2,53,78
2,54,78
2,55,79
2,56,80
2,57,80
2,58,85
2,59,85
2,60,88
2,61,89
2,62,90
2,63,91
2,64,90
2,65,89
2,66,89
2,67,89
2,68,90
2,69,91
2,70,90
2,71,87
2,72,84
2,73,88
2,74,90
2,75,89
2,76,91
2,77,86
2,78,88
2,79,88
2,80,88
3,0,75
3,1,76
3,2,80
3,3,78
3,4,75
3,5,76
3,6,76
3,7,77
3,8,76
3,9,76
3,10,77
3,11,75
3,12,74
3,13,76
3,14,75
3,15,75
3,16,76
3,17,74
3,18,72
3,19,76
3,20,75
3,21,75
3,22,76
3,23,77
3,24,76
3,25,75
3,26,76
3,27,80
3,28,75
3,29,74
3,30,79
3,31,77
3,32,76
3,33,75
3,34,75
3,35,74
3,36,73
3,37,76
3,38,70
3,39,69
3,40,67
3,41,67
3,42,68
3,43,68
3,44,69
3,45,69
3,46,68
3,47,68
3,48,69
3,49,66
3,50,65
3,51,66
3,52,66
3,53,65
3,54,67
3,55,68
3,56,65
3,57,71
3,58,69
3,59,74
3,60,75
3,61,75
3,62,75
3,63,76
3,64,76
3,65,76
3,66,73
3,67,73
3,68,74
3,69,72
3,70,75
3,71,73
3,72,72
3,73,74
3,74,74
3,75,74
3,76,74
3,77,71
3,78,74
3,79,77
3,80,74
4,0,88
4,1,88
4,2,87
4,3,89
4,4,89
4,5,88
4,6,90
4,7,87
4,8,87
4,9,86
4,10,90
4,11,89
4,12,87
4,13,85
4,14,87
4,15,88
4,16,88
4,17,88
4,18,90
4,19,88
4,20,91
4,21,93
4,22,89
4,23,92
4,24,98
4,25,95
4,26,94
4,27,95
4,28,94
4,29,94
4,30,95
4,31,96
4,32,96
4,33,95
4,34,96
4,35,94
4,36,98
4,37,97
4,38,86
4,39,85
4,40,84
4,41,84
4,42,87
4,43,86
4,44,85
4,45,85
4,46,84
4,47,86
4,48,85
4,49,84
4,50,82
4,51,81
4,52,79
4,53,81
4,54,81
4,55,82
4,56,83
4,57,89
4,58,87
4,59,88
4,60,94
4,61,92
4,62,90
4,63,95
4,64,93
4,65,93
4,66,94
4,67,94
4,68,94
4,69,95
4,70,95
4,71,97
4,72,93
4,73,93
4,74,96
4,75,95
4,76,94
4,77,95
4,78,95
4,79,95
4,80,96
5,0,85
5,1,84
5,2,86
5,3,86
5,4,86
5,5,87
5,6,86
5,7,87
5,8,86
5,9,84
5,10,85
5,11,88
5,12,89
5,13,87
5,14,88
5,15,88
5,16,88
5,17,92
5,18,87
5,19,89
5,20,89
5,21,83
5,22,89
5,23,87
5,24,89
5,25,92
5,26,88
5,27,90
5,28,84
5,29,84
5,30,84
5,31,86
5,32,86
5,33,88
5,34,86
5,35,87
5,36,88
5,37,86
5,38,82
5,39,77
5,40,76
5,41,80
5,42,78
5,43,78
5,44,75
5,45,79
5,46,80
5,47,79
5,48,79
5,49,80
5,50,80
5,51,76
5,52,78
5,53,78
5,54,71
5,55,75
5,56,79
5,57,82
5,58,82
5,59,86
5,60,86
5,61,88
5,62,86
5,63,87
5,64,88
5,65,86
5,66,87
5,67,91
5,68,87
5,69,88
5,70,87
5,71,85
5,72,85
5,73,88
5,74,85
5,75,89
5,76,83
5,77,83
5,78,84
5,79,89
5,80,84
6,0,103
6,1,103
6,2,104
6,3,105
6,4,105
