frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,92,89,75,88,85,103,135,89,75,96
1,95,88,76,88,84,103,134,88,77,94
2,94,89,80,87,86,104,135,91,78,97
3,95,91,78,89,86,105,132,92,79,94
4,95,90,75,89,86,105,133,89,76,94
5,96,90,76,88,87,105,131,89,76,94
6,96,90,76,90,86,106,134,89,76,93
7,96,90,77,87,87,107,133,88,77,94
8,97,91,76,87,86,107,132,89,77,91
9,98,92,76,86,84,107,133,87,78,93
10,95,90,77,90,85,108,133,91,77,92
11,99,91,75,89,88,107,132,92,75,93
12,99,90,74,87,89,107,134,91,76,92
13,96,90,76,85,87,108,130,88,76,94
14,94,90,75,87,88,108,132,90,76,94
15,99,89,75,88,88,108,131,90,75,93
16,98,89,76,88,88,109,134,91,76,91
17,94,90,74,88,92,110,134,92,74,93
18,102,89,72,90,87,110,135,93,73,93
19,94,89,76,88,89,109,130,93,76,94
20,100,87,75,91,89,108,132,93,75,93
21,98,90,75,93,83,108,129,95,77,92
22,94,90,76,89,89,109,135,97,76,92
23,99,89,77,92,87,109,134,94,77,93
24,96,91,76,98,89,102,134,97,76,95
25,100,88,75,95,92,105,132,98,75,95
26,98,90,76,94,88,106,132,96,76,94
27,100,86,80,95,90,101,132,97,80,93
28,98,86,75,94,84,104,132,96,76,94
29,97,85,74,94,84,103,134,96,74,94
30,98,88,79,95,84,104,133,96,80,95
31,96,87,77,96,86,102,131,97,77,94
32,95,90,76,96,86,108,130,95,76,94
33,98,84,75,95,88,108,130,96,79,93
34,95,84,75,96,86,102,133,97,75,95
35,96,87,74,94,87,104,133,96,76,95
36,97,86,73,98,88,104,131,98,73,94
37,95,82,76,97,86,100,128,97,76,91
38,88,83,70,86,82,96,120,90,71,83
39,86,83,69,85,77,101,114,85,69,82
40,83,82,67,84,76,95,115,86,66,82
41,84,77,67,84,80,95,114,88,67,83
42,86,79,68,87,78,93,113,90,67,82
43,86,76,68,86,78,95,114,87,69,81
44,85,76,69,85,75,97,114,86,69,81
45,84,80,69,85,79,93,115,85,69,80
46,83,79,68,84,80,93,119,85,68,82
47,82,79,68,86,79,93,114,86,68,81
48,85,79,69,85,79,90,116,86,69,82
49,84,79,66,84,80,93,117,85,66,82
50,84,79,65,82,80,92,116,84,65,82
51,84,79,66,81,76,95,114,84,67,81
52,84,79,66,79,78,95,117,84,67,83
53,84,78,65,81,78,94,113,84,65,83
54,84,78,67,81,71,94,112,82,68,86
55,87,79,68,82,75,99,116,85,67,85
56,86,80,65,83,79,103,118,85,66,84
57,89,80,71,89,82,102,124,93,71,83
58,86,85,69,87,82,101,127,92,70,88
59,93,85,74,88,86,96,128,95,74,89
60,94,88,75,94,86,99,131,97,75,93
61,99,89,75,92,88,100,135,97,74,91
62,96,90,75,90,86,103,135,95,75,92
63,96,91,76,95,87,106,132,97,77,93
64,95,90,76,93,88,105,131,94,77,93
65,93,89,76,93,86,106,132,95,76,93
66,99,89,73,94,87,104,135,94,73,95
67,97,89,73,94,91,106,135,95,76,93
68,94,90,74,94,87,105,136,94,75,90
69,98,91,72,95,88,108,136,94,72,90
70,93,90,75,95,87,107,137,98,75,90
71,96,87,73,97,85,109,134,98,75,93
72,94,84,72,93,85,107,134,96,72,91
73,96,88,74,93,88,108,135,95,74,91
74,96,90,74,96,85,107,133,95,76,93
75,95,89,74,95,89,108,135,97,74,89
76,97,91,74,94,83,109,133,96,74,91
77,95,86,71,95,83,108,129,97,73,91
78,95,88,74,95,84,106,132,96,79,90
79,96,88,77,95,89,109,126,97,77,91
80,96,88,74,96,84,106,128,97,74,94
