track_id,frame,area
1,0,128.0
1,1,129.0
1,2,132.0
1,3,132.0
1,4,128.0
1,5,129.0
1,6,135.0
1,7,136.0
1,8,135.0
1,9,135.0
1,10,133.0
1,11,134.0
1,12,133.0
1,13,135.0
1,14,129.0
1,15,131.0
1,16,133.0
1,17,132.0
1,18,136.0
1,19,131.0
1,20,130.0
1,21,132.0
1,22,133.0
1,23,135.0
1,24,130.0
1,25,132.0
1,26,133.0
1,27,129.0
1,28,129.0
1,29,130.0
1,30,129.0
1,31,129.0
1,32,127.0
1,33,133.0
1,34,135.0
1,35,135.0
1,36,134.0
1,37,134.0
1,38,134.0
1,39,133.0
1,40,137.0
1,41,133.0
1,42,133.0
1,43,131.0
1,44,129.0
1,45,132.0
1,46,131.0
1,47,133.0
1,48,132.0
1,49,133.0
1,50,132.0
1,51,130.0
1,52,132.0
1,53,130.0
1,54,133.0
1,55,129.0
1,56,132.0
1,57,132.0
1,58,132.0
1,59,135.0
1,60,131.0
1,61,132.0
1,62,133.0
1,63,131.0
1,64,131.0
1,65,132.0
1,66,133.0
1,67,131.0
1,68,135.0
1,69,138.0
1,70,129.0
1,71,134.0
1,72,135.0
1,73,133.0
1,74,134.0
1,75,130.0
1,76,134.0
1,77,135.0
1,78,134.0
1,79,132.0
1,80,134.0
2,0,122.0
2,1,123.0
2,2,125.0
2,3,125.0
2,4,130.0
2,5,124.0
2,6,128.0
2,7,124.0
2,8,127.0
2,9,127.0
2,10,126.0
2,11,126.0
2,12,128.0
2,13,124.0
2,14,127.0
2,15,128.0
2,16,129.0
2,17,123.0
2,18,126.0
2,19,125.0
2,20,127.0
2,21,127.0
2,22,127.0
2,23,126.0
2,24,125.0
2,25,130.0
2,26,127.0
2,27,128.0
2,28,125.0
2,29,127.0
2,30,126.0
2,31,127.0
2,32,127.0
2,33,126.0
2,34,127.0
2,35,127.0
2,36,128.0
2,37,127.0
2,38,126.0
2,39,128.0
2,40,127.0
2,41,128.0
2,42,130.0
2,43,131.0
2,44,129.0
2,45,129.0
2,46,125.0
2,47,125.0
2,48,129.0
2,49,127.0
2,50,127.0
2,51,127.0
2,52,127.0
2,53,130.0
2,54,129.0
2,55,130.0
2,56,128.0
2,57,127.0
2,58,127.0
2,59,127.0
2,60,124.0
2,61,124.0
2,62,127.0
2,63,126.0
2,64,127.0
2,65,124.0
2,66,129.0
2,67,127.0
2,68,125.0
2,69,126.0
2,70,128.0
2,71,126.0
2,72,124.0
2,73,125.0
2,74,123.0
2,75,128.0
2,76,128.0
2,77,127.0
2,78,126.0
2,79,128.0
2,80,127.0
3,0,104.0
3,1,104.0
3,2,104.0
3,3,105.0
3,4,106.0
3,5,105.0
3,6,105.0
3,7,104.0
3,8,103.0
3,9,107.0
3,10,104.0
3,11,101.0
3,12,102.0
3,13,105.0
3,14,103.0
3,15,109.0
3,16,105.0
3,17,96.0
3,18,104.0
3,19,103.0
3,20,100.0
3,21,107.0
3,22,105.0
3,23,105.0
3,24,105.0
3,25,105.0
3,26,107.0
3,27,105.0
3,28,103.0
3,29,106.0
3,30,105.0
3,31,106.0
3,32,107.0
3,33,107.0
3,34,106.0
3,35,107.0
3,36,102.0
3,37,106.0
3,38,106.0
3,39,107.0
3,40,103.0
3,41,103.0
3,42,106.0
3,43,107.0
3,44,106.0
3,45,111.0
3,46,102.0
3,47,110.0
3,48,106.0
3,49,107.0
3,50,100.0
3,51,99.0
3,52,100.0
3,53,105.0
3,54,106.0
3,55,103.0
3,56,105.0
3,57,107.0
3,58,101.0
3,59,106.0
3,60,106.0
3,61,107.0
3,62,108.0
3,63,106.0
3,64,108.0
3,65,106.0
3,66,102.0
3,67,107.0
3,68,107.0
3,69,106.0
3,70,106.0
3,71,106.0
3,72,107.0
3,73,108.0
3,74,108.0
3,75,106.0
3,76,107.0
3,77,105.0
3,78,106.0
3,79,104.0
3,80,104.0
4,0,87.0
4,1,88.0
4,2,87.0
4,3,89.0
4,4,91.0
4,5,85.0
4,6,88.0
4,7,89.0
4,8,89.0
4,9,88.0
4,10,87.0
4,11,90.0
4,12,91.0
4,13,90.0
4,14,93.0
4,15,91.0
4,16,90.0
4,17,90.0
4,18,90.0
4,19,87.0
4,20,88.0
4,21,89.0
4,22,89.0
4,23,88.0
4,24,88.0
4,25,85.0
4,26,85.0
4,27,86.0
4,28,87.0
4,29,87.0
4,30,87.0
4,31,87.0
4,32,91.0
4,33,86.0
4,34,90.0
4,35,90.0
4,36,87.0
4,37,88.0
4,38,88.0
4,39,89.0
4,40,88.0
4,41,88.0
4,42,88.0
4,43,89.0
4,44,90.0
4,45,91.0
4,46,88.0
4,47,87.0
4,48,86.0
4,49,88.0
4,50,89.0
4,51,88.0
4,52,87.0
4,53,87.0
4,54,86.0
4,55,88.0
4,56,88.0
4,57,88.0
4,58,89.0
4,59,88.0
4,60,89.0
4,61,89.0
4,62,89.0
4,63,88.0
4,64,92.0
4,65,88.0
4,66,88.0
4,67,87.0
4,68,89.0
4,69,86.0
4,70,88.0
4,71,91.0
4,72,89.0
4,73,96.0
4,74,91.0
4,75,88.0
4,76,87.0
