frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,128.0,122.0,104.0,87.0,158.0,156.0,103.0,160.0,121.0,151.0
1,129.0,123.0,104.0,88.0,156.0,153.0,102.0,164.0,121.0,150.0
2,132.0,125.0,104.0,87.0,158.0,158.0,103.0,162.0,121.0,150.0
3,132.0,125.0,105.0,89.0,155.0,152.0,100.0,159.0,125.0,154.0
4,128.0,130.0,106.0,91.0,153.0,153.0,102.0,158.0,124.0,151.0
5,129.0,124.0,105.0,85.0,155.0,155.0,104.0,159.0,123.0,151.0
6,135.0,128.0,105.0,88.0,150.0,157.0,104.0,160.0,127.0,149.0
7,136.0,124.0,104.0,89.0,159.0,153.0,106.0,158.0,125.0,148.0
8,135.0,127.0,103.0,89.0,153.0,161.0,105.0,160.0,126.0,148.0
9,135.0,127.0,107.0,88.0,151.0,158.0,102.0,162.0,125.0,149.0
10,133.0,126.0,104.0,87.0,155.0,157.0,107.0,158.0,124.0,153.0
11,134.0,126.0,101.0,90.0,157.0,158.0,104.0,159.0,127.0,151.0
12,133.0,128.0,102.0,91.0,156.0,155.0,107.0,158.0,123.0,153.0
13,135.0,124.0,105.0,90.0,161.0,160.0,104.0,158.0,125.0,152.0
14,129.0,127.0,103.0,93.0,159.0,156.0,108.0,160.0,124.0,152.0
15,131.0,128.0,109.0,91.0,157.0,156.0,108.0,157.0,121.0,152.0
16,133.0,129.0,105.0,90.0,162.0,157.0,108.0,160.0,124.0,152.0
17,132.0,123.0,96.0,90.0,164.0,156.0,109.0,156.0,123.0,150.0
18,136.0,126.0,104.0,90.0,158.0,157.0,109.0,156.0,127.0,151.0
19,131.0,125.0,103.0,87.0,156.0,152.0,108.0,160.0,119.0,153.0
20,130.0,127.0,100.0,88.0,161.0,157.0,108.0,159.0,128.0,152.0
21,132.0,127.0,107.0,89.0,162.0,154.0,103.0,161.0,125.0,148.0
22,133.0,127.0,105.0,89.0,162.0,151.0,101.0,159.0,125.0,150.0
23,135.0,126.0,105.0,88.0,161.0,154.0,102.0,163.0,123.0,155.0
24,130.0,125.0,105.0,88.0,162.0,153.0,102.0,160.0,123.0,153.0
25,132.0,130.0,105.0,85.0,162.0,156.0,103.0,155.0,126.0,153.0
26,133.0,127.0,107.0,85.0,161.0,155.0,104.0,161.0,124.0,147.0
27,129.0,128.0,105.0,86.0,158.0,157.0,105.0,162.0,124.0,150.0
28,129.0,125.0,103.0,87.0,164.0,160.0,104.0,163.0,124.0,148.0
29,130.0,127.0,106.0,87.0,160.0,159.0,103.0,160.0,125.0,154.0
30,129.0,126.0,105.0,87.0,160.0,154.0,105.0,163.0,124.0,153.0
31,129.0,127.0,106.0,87.0,159.0,155.0,105.0,165.0,127.0,149.0
32,127.0,127.0,107.0,91.0,161.0,157.0,107.0,162.0,124.0,152.0
33,133.0,126.0,107.0,86.0,149.0,155.0,107.0,162.0,124.0,154.0
34,135.0,127.0,106.0,90.0,150.0,156.0,109.0,159.0,125.0,151.0
35,135.0,127.0,107.0,90.0,159.0,156.0,106.0,161.0,126.0,152.0
36,134.0,128.0,102.0,87.0,155.0,162.0,107.0,164.0,127.0,153.0
37,134.0,127.0,106.0,88.0,160.0,159.0,108.0,163.0,123.0,152.0
38,134.0,126.0,106.0,88.0,156.0,157.0,108.0,158.0,123.0,152.0
39,133.0,128.0,107.0,89.0,157.0,161.0,110.0,163.0,125.0,151.0
40,137.0,127.0,103.0,88.0,154.0,161.0,111.0,160.0,123.0,149.0
