,0
0,9.90933451044236
1,13.97400900744397
2,18.182360540751993
3,18.598058148205574
4,20.168219120499586
5,20.17796318786654
6,20.261767290750075
7,20.264784547326318
8,20.272504729090514
9,20.799027260609417
10,22.02769549632195
11,23.65453395259505
12,23.882481821946882
13,23.882481821946882
14,23.892080167376076
15,25.65254434547843
16,25.780200118002824
17,26.33495749793503
18,26.33592302261608
19,26.33592302261608
20,26.33592302261608
21,26.33592302261608
22,26.634953294639466
23,29.458009035861398
24,29.45985507283931
25,29.5470152199042
26,29.5470152199042
27,29.5470152199042
28,29.5470152199042
29,30.91099926765431
30,31.06724266843614
31,31.06724266843614
32,33.502203081745876
33,33.502203081745876
34,33.502203081745876
35,34.302219608143986
36,34.302219608143986
37,34.30758370964729
38,35.98485525688526
39,35.98485525688526
40,35.98485525688526
41,35.98485525688526
42,36.89456691124434
43,38.971823226243025
44,39.16784308888957
45,39.16784308888957
46,38.971823226243025
47,36.89456691124434
48,36.89456691124434
49,38.971823226243025
50,38.971823226243025
51,38.971823226243025
52,36.89456691124434
53,36.89456691124434
54,36.89456691124434
55,36.89456691124434
56,36.89456691124434
57,36.89456691124434
58,36.89456691124434
59,36.55685838315493
60,35.98485525688526
61,34.53961862606533
62,35.98485525688526
63,36.55685838315493
64,36.55685838315493
65,36.89456691124434
66,36.55685838315493
67,35.98485525688526
68,35.98485525688526
69,35.98485525688526
70,36.55685838315493
71,36.55685838315493
72,36.89456691124434
73,36.55685838315493
74,35.98485525688526
75,35.98485525688526
76,34.53961862606533
77,35.98485525688526
78,36.55685838315493
79,35.98485525688526
80,34.53961862606533
81,34.31342323319621
82,34.31342323319621
83,34.53961862606533
84,35.98485525688526
85,35.98485525688526
86,34.53961862606533
87,34.31342323319621
88,34.056566167259035
89,34.056566167259035
90,34.31342323319621
91,34.31342323319621
92,34.056566167259035
93,34.056566167259035
94,34.056566167259035
95,34.056566167259035
96,34.056566167259035
97,34.31342323319621
98,34.31342323319621
99,34.53961862606533
100,34.31342323319621
101,34.056566167259035
102,32.54711874599523
103,34.056566167259035
104,34.31342323319621
105,34.53961862606533
106,34.53961862606533
107,34.31342323319621
108,34.056566167259035
109,34.056566167259035
110,34.056566167259035
111,34.056566167259035
112,34.056566167259035
113,32.54711874599523
114,31.145822089404355
115,31.145822089404355
116,31.145822089404355
117,32.54711874599523
118,34.056566167259035
119,34.056566167259035
120,34.056566167259035
121,32.54711874599523
122,34.056566167259035
123,34.056566167259035
124,34.056566167259035
125,34.31342323319621
126,34.056566167259035
127,34.056566167259035
128,34.056566167259035
129,34.056566167259035
130,34.31342323319621
131,34.534452127588864
132,34.534452127588864
133,34.31342323319621
134,34.31342323319621
135,34.31342323319621
136,34.534452127588864
137,34.534452127588864
138,34.53961862606533
139,34.534452127588864
140,34.31342323319621
141,34.31342323319621
142,34.534452127588864
143,34.534452127588864
144,34.534452127588864
145,34.056566167259035
146,34.056566167259035
147,34.056566167259035
148,34.534452127588864
149,35.91326449639441
150,35.91326449639441
151,36.870219640891854
152,36.870219640891854
153,35.91326449639441
154,35.91326449639441
155,36.870219640891854
156,35.91326449639441
157,36.870219640891854
158,36.870219640891854
159,35.91326449639441
160,36.870219640891854
161,35.91326449639441
162,36.870219640891854
163,36.870219640891854
164,36.870219640891854
165,36.870219640891854
166,35.91326449639441
167,36.870219640891854
168,36.870219640891854
169,36.870219640891854
170,36.87938865654126
171,36.87938865654126
172,36.87938865654126
173,36.87938865654126
174,36.87938865654126
175,36.87938865654126
176,39.16929610134138
177,39.16929610134138
178,39.16929610134138
179,39.16929610134138
180,39.16929610134138
181,39.16929610134138
182,36.88620757117248
183,36.88620757117248
184,39.16929610134138
185,36.88620757117248
186,39.16929610134138
187,39.16929610134138
188,39.16929610134138
189,39.18580545707743
190,39.16929610134138
191,39.16929610134138
192,39.18580545707743
193,39.18580545707743
194,39.18580545707743
195,39.16929610134138
196,39.16929610134138
197,36.88620757117248
198,36.88620757117248
199,39.18580545707743
200,39.18580545707743
201,39.197807188266694
202,39.353161739179164
203,39.353161739179164
204,39.353161739179164
205,39.353161739179164
206,39.353161739179164
