roi_id,x_min,x_max,y_min,y_max
1,556,614,1090,1134
2,226,293,858,904
3,105,172,673,701
4,79,143,590,635
5,39,98,487,538
6,258,291,333,382
7,428,484,270,323
8,595,657,278,348
9,830,906,343,395
10,1023,1076,237,283
11,799,862,158,181
12,734,792,5,52
13,486,569,975,1019
14,427,490,1030,1063
15,345,398,956,987
