roi_id,x_min,x_max,y_min,y_max
1,992,1040,385,429
2,911,967,332,374
3,1078,1135,330,401
4,710,758,45,88
5,980,1041,33,96
6,1001,1057,1052,1117
7,681,749,1002,1045
8,838,889,878,935
9,715,780,944,985
10,543,604,952,993
11,420,473,757,828
12,186,250,1059,1120
13,172,240,936,982
14,263,342,338,389
15,18,82,120,169
