track_id,frame,fluorescence,time_s,dff
1,0,1.1533862696179829,0,-0.0003277165580509882
1,1,1.1534769029835812,5,0.0002629729721747033
1,2,1.1553283249871933,10,0.012329341536813103
1,3,1.1540328571942162,15,0.003886322158636261
1,4,1.1539614698023657,20,0.0034210654104415176
1,5,1.152972020874892,25,-0.00302752135772463
1,6,1.154657981704172,30,0.007960478521258666
1,7,1.1550186221647147,35,0.010310899283105319
1,8,1.1558118537150313,40,0.015480668371160288
1,9,1.1499519037076984,45,-0.022710687473635065
1,10,1.1535382922527064,50,0.0006630684370302555
1,11,1.1542159760528674,55,0.005079772185324014
1,12,1.149795862166214,60,-0.02372766509800726
1,13,1.1543693664061772,65,0.006079471083621906
1,14,1.152855511035582,70,-0.003786856970986806
1,15,1.1525009553959926,75,-0.006097620813919575
1,16,1.1537340217690049,80,0.0019387065562853334
1,17,1.1537290745753748,85,0.0019064639548768887
1,18,1.1505268776225417,90,-0.018963380183337927
1,19,1.1531817407857388,95,-0.0016607029150983758
1,20,1.152846109055932,100,-0.0038481329801689544
1,21,1.1507725720571589,105,-0.01736210311274703
1,22,1.1557557901845634,110,0.015115282618835924
1,23,1.1536618983980669,115,0.001468653173445581
1,24,1.1546400836581856,120,0.007843830658676621
1,25,1.1509956697811652,125,-0.015908096755179697
1,26,1.1558253747490386,130,0.01556878970675474
1,27,1.1533675750926724,135,-0.0004495553566051414
1,28,1.1555742933175133,140,0.013932403682061008
1,29,1.1543112324344933,145,0.005700591537470268
1,30,1.1494116265103833,150,-0.02623186404880531
1,31,1.156286299530051,155,0.018572798667121065
1,32,1.1511065016388378,160,-0.015185766545874774
1,33,1.1563563011846985,165,0.019029024078434032
1,34,1.1511306589322965,170,-0.015028324965387762
1,35,1.154856642848408,175,0.009255223091187596
1,36,1.1546678888168391,180,0.008025046660029704
1,37,1.1553572754678847,185,0.012518022004834109
1,38,1.155069865039562,190,0.01064486712674856
1,39,1.1521629839511909,195,-0.008300299624771384
1,40,1.1488959413370363,200,-0.029592765751812147
1,41,1.1442544673587165,205,-0.059842884631418694
1,42,1.1428942260700043,210,-0.06870805566990565
1,43,1.1412005892771566,215,-0.07974608250401607
1,44,1.140662951515256,220,-0.08325005694998443
1,45,1.1398137138787636,225,-0.08878483740570282
1,46,1.140674915863609,230,-0.08317208108247257
1,47,1.1422440432837055,235,-0.07294552563545575
1,48,1.143239290460977,240,-0.06645914963341883
1,49,1.1406296632986543,245,-0.08346700796903428
1,50,1.1405603421917234,250,-0.08391879801144778
1,51,1.141108548041457,255,-0.08034594761900922
1,52,1.1411504652600426,260,-0.08007275835817465
1,53,1.140469530395472,265,-0.08451065043701544
1,54,1.1419003303431308,270,-0.07518562379423291
1,55,1.147240747101976,275,-0.04038024891196464
1,56,1.1521862551838586,280,-0.008148632814192881
1,57,1.1546857559787966,285,0.008141493240529858
1,58,1.1555841909271904,290,0.013996909886503196
1,59,1.155398054207397,295,0.01278379139700736
1,60,1.1556410703734443,300,0.014367613249060624
1,61,1.1580930714590072,305,0.03034816698644285
1,62,1.1541492120729464,310,0.004644647839282309
1,63,1.15469338543229,315,0.008191217073140009
1,64,1.1535805190511634,320,0.0009382753388024101
1,65,1.1558539148186038,325,0.01575479538107553
1,66,1.1550512198334466,330,0.010523349758739371
1,67,1.1557901266909725,335,0.015339065711369844
1,68,1.1572533726222711,340,0.024875554244675763
1,69,1.154673946291218,345,0.00806452535169611
1,70,1.1575601072402104,350,0.026874651665127734
1,71,1.1553866258271872,355,0.012709308622448985
1,72,1.1559776341225974,360,0.016561117612114425
1,73,1.1567719221661783,365,0.021737772238469028
