track_id,frame,fluorescence,time_s,dff
1,0,1.160537425877327,0,-0.01345667833719366
1,1,1.1662941676351224,5,0.02191996424103181
1,2,1.1591157242243912,10,-0.022193396665867973
1,3,1.162071996539565,15,-0.00402635123323554
1,4,1.1612405487616175,20,-0.009135809343472055
1,5,1.1625558019547122,25,-0.0010532438802962638
1,6,1.1596377115934993,30,-0.01898565149260624
1,7,1.1611659927802724,35,-0.009593974815380282
1,8,1.1581246754645802,40,-0.028283643411078023
1,9,1.1573880557274467,45,-0.032810359086893906
1,10,1.161342327176692,50,-0.008510355091091515
1,11,1.159620681019979,55,-0.019090308699352493
1,12,1.1608840049482834,60,-0.011326861778770186
1,13,1.161784200700141,65,-0.005794929879830329
1,14,1.162056416610798,70,-0.004122093858937644
1,15,1.1606257950782173,75,-0.012913627117188966
1,16,1.1621743406167917,80,-0.0033974208430288828
1,17,1.1610898341802354,85,-0.010061988786846172
1,18,1.161958280764407,90,-0.00472516360011255
1,19,1.1605964809796263,95,-0.01309376971034096
1,20,1.1598543439698,100,-0.01765439043041217
1,21,1.1630800884123818,105,0.002168629777048817
1,22,1.1597194225946978,110,-0.01848351660350916
1,23,1.1568906405311514,115,-0.035867102007225246
1,24,1.1604460589153776,120,-0.014018151561515906
1,25,1.1636078463255977,125,0.005411836411841308
1,26,1.1628299092106538,130,0.0006312149385159331
1,27,1.1619716314654591,135,-0.004643120145818916
1,28,1.1608783250629595,140,-0.011361766119010058
1,29,1.1656446072203,145,0.01792825024812598
1,30,1.1608945831114026,150,-0.011261856275388662
1,31,1.1627239853337177,155,-1.9714231581643833e-05
1,32,1.1624984409918813,160,-0.0014057415891373585
1,33,1.1622800890684484,165,-0.0027475697059003213
1,34,1.1639425159625028,170,0.0074684664683387246
1,35,1.1607211655982157,175,-0.01232755101017674
1,36,1.1610506401299925,180,-0.010302846196292752
1,37,1.164496824982025,185,0.010874836405806715
1,38,1.1622127884257103,190,-0.003161149276358862
1,39,1.163477564075323,195,0.004611218840970988
1,40,1.161968680887998,200,-0.004661252194924071
1,41,1.159881181753949,205,-0.01748946541946375
1,42,1.1651922710800289,210,0.015148529594873752
1,43,1.164868331268735,215,0.013157837046352499
1,44,1.1608397579802907,220,-0.011598770653217561
1,45,1.1674774613222467,225,0.0291916049704048
1,46,1.162516160923653,230,-0.0012968481005683026
1,47,1.1648550229006585,235,0.013076053738962964
1,48,1.1684178083651675,240,0.03497027676714681
1,49,1.164424552181322,245,0.01043070165977009
1,50,1.162725561656316,250,-1.0027328209608047e-05
1,51,1.1645647207563263,255,0.011292073211119611
1,52,1.1652714466973997,260,0.015635083905364486
1,53,1.1662201695860424,265,0.02146522740482658
1,54,1.1671092147090494,270,0.026928635852833484
1,55,1.1662016984008576,275,0.02135171727292059
1,56,1.1646975576153995,280,0.012108389502932089
1,57,1.1668195386013462,285,0.025148502479334745
1,58,1.1651093099706764,290,0.014638712473151917
1,59,1.1680823113836714,295,0.03290856246766641
1,60,1.1624694874177537,300,-0.001583668667746785
1,61,1.1657425118190743,305,0.018529898913868966
1,62,1.1668086275905205,310,0.0250814515421225
1,63,1.1654441212311863,315,0.016696212842729194
1,64,1.1703014015481883,320,0.04654543605030799
1,65,1.1690230193690705,325,0.03868945234775923
1,66,1.16493061878044,330,0.013540609651306518
1,67,1.1678148332428433,335,0.031264841247629245
1,68,1.1673063703648554,340,0.02814020751284074
1,69,1.1709412266509274,345,0.05047732407386328
1,70,1.169539983702904,350,0.04186632969143194
1,71,1.1686087917953345,355,0.036143918530429316
