track_id,frame,fluorescence
1,0,7666.086687902265
1,1,7750.529567000609
1,2,7693.27454111477
1,3,7871.169888599034
1,4,7507.784943420389
1,5,7627.305773298489
1,6,7628.161031186792
1,7,7528.164819921862
1,8,7699.03926838372
1,9,7663.031616274726
1,10,7656.299949865315
1,11,7633.053183621327
1,12,7604.25774818402
1,13,7648.033134340818
1,14,7760.137304834265
1,15,7795.903944257807
1,16,7727.205585182201
1,17,7812.263989275867
1,18,7679.365544947221
1,19,7680.718394818454
1,20,7683.467878757183
1,21,7677.08569436289
1,22,7616.270253727089
1,23,7652.7009998198555
1,24,7601.93084448397
1,25,7654.9875820900415
1,26,7686.399017046162
1,27,7612.400525703801
1,28,7578.305869119831
1,29,7461.359610041203
1,30,7515.616000323404
1,31,7544.7599818214585
1,32,7543.354789103694
1,33,7487.915812341344
1,34,7371.488414413689
1,35,7304.354945875326
1,36,7007.577895947114
1,37,6832.067052333528
1,38,6809.637635055507
1,39,6525.818082225007
1,40,6595.619098114999
1,41,6632.239472349065
1,42,6529.361684729549
1,43,6572.585062861297
1,44,6538.443265174952
1,45,6598.1978677060615
1,46,6545.588666764306
1,47,6594.112399686826
1,48,6553.42039742841
1,49,6532.504646742847
1,50,6594.815105138739
1,51,6532.883102721906
1,52,6476.79618259587
1,53,6655.088313326021
1,54,6664.338327202167
1,55,6532.985396815297
1,56,6805.708000128849
1,57,6865.508759503806
1,58,6793.777583072668
1,59,6865.478162311098
1,60,6856.86290904566
1,61,6993.735134622839
1,62,7033.4554224115855
1,63,7131.02914677604
1,64,7085.348534382887
1,65,7221.199220063201
1,66,7099.9529558302165
1,67,7135.111905064201
1,68,7375.326766332342
1,69,7218.157830501856
1,70,7287.996671361427
1,71,7286.316125419937
1,72,7238.8285147582865
1,73,7335.670548712202
1,74,7433.659857703031
1,75,7372.690293313244
1,76,7306.495086415634
1,77,7424.961250244094
1,78,7480.507831597235
1,79,7391.305922607935
1,80,7332.826169205233
2,0,8734.636179363712
2,1,8640.837073564442
2,2,8719.264889336016
2,3,8741.133045450639
2,4,8829.82087867795
2,5,8694.785207782566
2,6,8777.93466429483
2,7,8752.701332907913
2,8,8842.41246239598
2,9,8660.818071080066
2,10,8829.057530185593
2,11,8718.588005250407
2,12,8790.006437511627
2,13,8694.958347254702
2,14,8843.66393323338
2,15,8878.461636485576
2,16,8901.290907869996
2,17,8870.3390693205
2,18,8921.392890140349
2,19,8855.570755896893
2,20,8704.24886358215
2,21,8794.942664776754
2,22,8821.609027707469
2,23,8851.285879919145
2,24,8811.02978697513
2,25,8702.265830310353
2,26,8809.152515090544
2,27,8740.764163233456
2,28,8706.121967597595
2,29,8906.856123610552
2,30,8820.968965081978
2,31,8594.88720032695
2,32,8757.43942929463
2,33,8834.536552427315
2,34,8637.978870291518
2,35,8488.002036441583
2,36,8184.936261244788
2,37,7963.525671030504
2,38,7767.178870623109
2,39,7749.37817828096
