,0
0,-19.843073846232446
1,-26.579556390678228
2,-27.678040611621675
3,-27.779577069059407
4,-30.766800700678203
5,-34.1809059954719
6,-36.48615509898084
7,-36.48615509898084
8,-36.48615509898084
9,-39.86663541180887
10,-39.86663541180887
11,-39.86663541180887
12,-39.86663541180887
13,-41.10474217781568
14,-39.86663541180887
15,-41.10474217781568
16,-45.34749495539917
17,-45.34749495539917
18,-41.10474217781568
19,-45.34749495539917
20,-45.34749495539917
21,-41.10474217781568
22,-45.34749495539917
23,-45.34749495539917
24,-45.166283153545486
25,-45.34749495539917
26,-45.34749495539917
27,-45.166283153545486
28,-45.166283153545486
29,-45.34749495539917
30,-45.166283153545486
31,-41.85814652658555
32,-41.85814652658555
33,-41.85814652658555
34,-41.85814652658555
35,-45.166283153545486
36,-45.166283153545486
37,-41.85814652658555
38,-41.85814652658555
39,-41.85814652658555
40,-38.99175644979627
41,-41.85814652658555
42,-47.80744021033642
43,-41.85814652658555
44,-41.85814652658555
45,-50.17183656319052
46,-50.17183656319052
47,-46.56255923665165
48,-50.17183656319052
49,-50.17183656319052
50,-46.56255923665165
51,-50.17183656319052
52,-50.17183656319052
53,-46.56255923665165
54,-50.17183656319052
55,-50.17183656319052
56,-46.56255923665165
57,-46.56255923665165
58,-46.56255923665165
59,-44.15603814523979
60,-44.15603814523979
61,-46.56255923665165
62,-44.15603814523979
63,-44.15603814523979
64,-43.9242050407763
65,-43.9242050407763
66,-43.9242050407763
67,-44.15603814523979
68,-44.15603814523979
69,-43.9242050407763
70,-43.9242050407763
71,-43.9242050407763
72,-41.56771310068011
73,-43.9242050407763
74,-43.9242050407763
75,-43.9242050407763
76,-43.9242050407763
77,-46.36919950361992
78,-43.469699740620044
79,-46.36919950361992
80,-46.36919950361992
81,-45.661816040918694
82,-45.661816040918694
83,-45.661816040918694
84,-45.661816040918694
85,-43.469699740620044
86,-45.661816040918694
87,-46.36919950361992
88,-45.661816040918694
89,-46.36919950361992
90,-45.661816040918694
91,-40.74765542104007
92,-40.74765542104007
93,-45.661816040918694
94,-44.88473284338079
95,-40.74765542104007
96,-44.88473284338079
97,-40.74765542104007
98,-40.74765542104007
99,-40.74765542104007
100,-44.88473284338079
101,-40.74765542104007
102,-40.64899529469237
103,-40.64899529469237
104,-40.64899529469237
105,-42.786242421896475
106,-42.786242421896475
107,-38.051131296552924
108,-38.051131296552924
109,-38.051131296552924
110,-40.58645277773595
111,-40.58645277773595
112,-40.6744114039033
113,-40.6744114039033
114,-42.70064744605751
115,-42.70064744605751
116,-42.786242421896475
117,-42.786242421896475
118,-43.70037997949362
119,-42.70064744605751
120,-40.6744114039033
121,-42.70064744605751
122,-46.085050708998075
123,-42.70064744605751
124,-42.70064744605751
125,-42.70064744605751
126,-40.6744114039033
127,-35.797304814804576
128,-42.70064744605751
129,-44.75992541645194
130,-36.15534791487474
131,-35.797304814804576
132,-36.15534791487474
133,-35.797304814804576
