track_id,frame,area
1,0,89.0
1,1,87.0
1,2,83.0
1,3,89.0
1,4,88.0
1,5,89.0
1,6,87.0
1,7,87.0
1,8,87.0
1,9,88.0
1,10,85.0
1,11,87.0
1,12,85.0
1,13,86.0
1,14,88.0
1,15,88.0
1,16,88.0
1,17,90.0
1,18,88.0
1,19,88.0
1,20,89.0
1,21,88.0
1,22,89.0
1,23,90.0
1,24,90.0
1,25,90.0
1,26,89.0
1,27,89.0
1,28,89.0
1,29,89.0
1,30,87.0
1,31,87.0
1,32,88.0
1,33,87.0
1,34,88.0
1,35,86.0
1,36,88.0
1,37,87.0
1,38,87.0
1,39,86.0
1,40,83.0
1,41,79.0
1,42,75.0
1,43,77.0
1,44,75.0
1,45,72.0
1,46,71.0
1,47,76.0
1,48,79.0
1,49,77.0
1,50,78.0
1,51,79.0
1,52,78.0
1,53,76.0
1,54,76.0
1,55,76.0
1,56,76.0
1,57,81.0
1,58,84.0
1,59,86.0
1,60,85.0
1,61,87.0
1,62,86.0
1,63,88.0
1,64,87.0
1,65,88.0
1,66,87.0
1,67,86.0
1,68,87.0
1,69,88.0
1,70,88.0
1,71,87.0
1,72,86.0
1,73,86.0
1,74,87.0
1,75,87.0
1,76,86.0
1,77,86.0
1,78,87.0
1,79,87.0
1,80,86.0
2,0,111.0
2,1,110.0
2,2,104.0
2,3,108.0
2,4,105.0
2,5,106.0
2,6,105.0
2,7,106.0
2,8,108.0
2,9,104.0
2,10,107.0
2,11,107.0
2,12,105.0
2,13,105.0
2,14,104.0
2,15,107.0
2,16,105.0
2,17,104.0
2,18,107.0
2,19,110.0
2,20,106.0
2,21,109.0
2,22,109.0
2,23,107.0
2,24,109.0
2,25,106.0
2,26,106.0
2,27,104.0
2,28,106.0
2,29,109.0
2,30,106.0
2,31,107.0
2,32,106.0
2,33,109.0
2,34,110.0
2,35,108.0
2,36,109.0
2,37,105.0
2,38,106.0
2,39,108.0
2,40,105.0
2,41,100.0
2,42,94.0
2,43,96.0
2,44,91.0
2,45,95.0
2,46,97.0
2,47,98.0
2,48,95.0
2,49,95.0
2,50,94.0
2,51,92.0
2,52,92.0
2,53,94.0
2,54,92.0
2,55,95.0
2,56,98.0
2,57,100.0
2,58,101.0
2,59,105.0
2,60,106.0
2,61,107.0
2,62,103.0
2,63,101.0
2,64,106.0
2,65,103.0
2,66,108.0
2,67,102.0
2,68,105.0
2,69,105.0
2,70,106.0
2,71,105.0
2,72,105.0
2,73,103.0
2,74,105.0
2,75,107.0
2,76,106.0
2,77,107.0
2,78,101.0
2,79,103.0
2,80,105.0
3,0,95.0
3,1,101.0
3,2,99.0
3,3,99.0
3,4,101.0
3,5,102.0
3,6,95.0
3,7,96.0
3,8,99.0
3,9,97.0
3,10,95.0
3,11,96.0
3,12,97.0
3,13,97.0
3,14,93.0
3,15,97.0
3,16,128.0
3,17,96.0
3,18,98.0
3,19,97.0
3,20,98.0
3,21,94.0
3,22,97.0
3,23,95.0
3,24,96.0
3,25,96.0
3,26,96.0
3,27,96.0
3,28,93.0
3,29,92.0
3,30,93.0
3,31,96.0
3,32,91.0
3,33,98.0
3,34,97.0
3,35,93.0
3,36,93.0
3,37,97.0
3,38,96.0
3,39,99.0
3,40,97.0
3,41,92.0
3,42,87.0
3,43,88.0
3,44,87.0
3,45,85.0
3,46,85.0
3,47,84.0
3,48,84.0
3,49,85.0
3,50,82.0
3,51,85.0
3,52,88.0
3,53,88.0
3,54,90.0
3,55,89.0
3,56,84.0
3,57,90.0
3,58,86.0
3,59,91.0
3,60,94.0
3,61,96.0
3,62,91.0
3,63,95.0
3,64,94.0
3,65,95.0
3,66,96.0
3,67,97.0
3,68,96.0
3,69,96.0
3,70,94.0
3,71,96.0
3,72,94.0
3,73,95.0
3,74,95.0
3,75,92.0
3,76,93.0
3,77,93.0
3,78,95.0
3,79,92.0
3,80,92.0
4,0,139.0
4,1,135.0
4,2,139.0
4,3,138.0
4,4,138.0
4,5,138.0
4,6,135.0
4,7,140.0
4,8,138.0
4,9,137.0
4,10,139.0
4,11,138.0
4,12,138.0
4,13,137.0
4,14,135.0
4,15,134.0
4,16,135.0
4,17,134.0
4,18,134.0
4,19,134.0
4,20,135.0
4,21,132.0
4,22,134.0
4,23,137.0
4,24,139.0
4,25,137.0
4,26,137.0
4,27,138.0
4,28,136.0
4,29,140.0
4,30,137.0
4,31,140.0
4,32,139.0
4,33,138.0
4,34,138.0
4,35,139.0
4,36,137.0
4,37,139.0
4,38,137.0
4,39,136.0
4,40,136.0
4,41,133.0
4,42,128.0
4,43,115.0
4,44,115.0
4,45,115.0
4,46,118.0
4,47,121.0
4,48,118.0
4,49,122.0
4,50,123.0
4,51,123.0
4,52,122.0
4,53,121.0
4,54,121.0
4,55,118.0
4,56,121.0
4,57,125.0
4,58,128.0
4,59,130.0
4,60,130.0
4,61,133.0
4,62,131.0
4,63,133.0
4,64,136.0
4,65,137.0
4,66,135.0
4,67,136.0
4,68,134.0
4,69,137.0
4,70,134.0
4,71,135.0
4,72,137.0
4,73,137.0
4,74,135.0
4,75,136.0
4,76,136.0
4,77,136.0
4,78,137.0
4,79,133.0
4,80,135.0
5,0,81.0
5,1,82.0
5,2,85.0
5,3,81.0
5,4,84.0
5,5,83.0
5,6,83.0
5,7,83.0
5,8,84.0
5,9,83.0
5,10,80.0
5,11,81.0
5,12,82.0
5,13,81.0
5,14,81.0
5,15,83.0
5,16,82.0
5,17,77.0
5,18,80.0
5,19,78.0
5,20,78.0
5,21,80.0
5,22,79.0
5,23,80.0
5,24,79.0
5,25,81.0
5,26,83.0
5,27,77.0
5,28,79.0
5,29,84.0
5,30,84.0
5,31,82.0
5,32,86.0
5,33,84.0
5,34,81.0
5,35,80.0
5,36,81.0
5,37,84.0
5,38,82.0
5,39,81.0
5,40,81.0
5,41,78.0
5,42,73.0
5,43,70.0
5,44,69.0
5,45,73.0
5,46,72.0
5,47,72.0
5,48,70.0
5,49,73.0
5,50,71.0
5,51,70.0
5,52,71.0
5,53,72.0
5,54,72.0
5,55,70.0
5,56,73.0
5,57,79.0
5,58,77.0
5,59,79.0
5,60,82.0
5,61,78.0
5,62,83.0
5,63,78.0
5,64,80.0
5,65,75.0
5,66,72.0
5,67,77.0
5,68,73.0
5,69,76.0
5,70,79.0
5,71,78.0
5,72,73.0
5,73,76.0
5,74,77.0
5,75,78.0
5,76,77.0
5,77,78.0
5,78,78.0
5,79,73.0
5,80,77.0
6,0,108.0
6,1,110.0
6,2,107.0
6,3,109.0
6,4,110.0
6,5,109.0
6,6,107.0
6,7,106.0
6,8,108.0
6,9,108.0
6,10,106.0
6,11,106.0
6,12,106.0
6,13,105.0
6,14,103.0
6,15,103.0
6,16,104.0
6,17,104.0
6,18,104.0
6,19,105.0
6,20,107.0
6,21,106.0
6,22,106.0
6,23,108.0
6,24,107.0
6,25,109.0
6,26,107.0
6,27,108.0
6,28,106.0
6,29,109.0
6,30,112.0
6,31,113.0
6,32,113.0
6,33,110.0
6,34,110.0
6,35,112.0
6,36,111.0
6,37,110.0
6,38,108.0
6,39,110.0
6,40,105.0
6,41,104.0
6,42,97.0
6,43,93.0
6,44,95.0
6,45,97.0
6,46,94.0
6,47,97.0
6,48,94.0
6,49,95.0
6,50,93.0
6,51,95.0
6,52,95.0
6,53,94.0
6,54,96.0
6,55,96.0
6,56,93.0
6,57,97.0
6,58,100.0
6,59,101.0
6,60,101.0
6,61,102.0
6,62,106.0
6,63,102.0
6,64,103.0
6,65,105.0
6,66,102.0
6,67,102.0
6,68,103.0
6,69,103.0
6,70,103.0
6,71,104.0
6,72,102.0
6,73,101.0
6,74,102.0
6,75,103.0
6,76,105.0
6,77,105.0
6,78,105.0
6,79,105.0
6,80,102.0
7,0,99.0
7,1,102.0
7,2,102.0
7,3,105.0
7,4,104.0
7,5,103.0
7,6,103.0
7,7,104.0
7,8,102.0
7,9,99.0
7,10,102.0
7,11,99.0
7,12,100.0
7,13,106.0
7,14,105.0
7,15,101.0
7,16,100.0
7,17,103.0
7,18,102.0
7,19,102.0
7,20,105.0
7,21,103.0
7,22,104.0
7,23,105.0
7,24,100.0
7,25,103.0
7,26,104.0
7,27,105.0
7,28,101.0
7,29,103.0
7,30,99.0
7,31,100.0
7,32,103.0
7,33,101.0
7,34,103.0
7,35,104.0
7,36,105.0
7,37,106.0
7,38,105.0
7,39,106.0
7,40,106.0
7,41,95.0
7,42,95.0
7,43,94.0
7,44,87.0
7,45,88.0
7,46,87.0
7,47,89.0
7,48,87.0
7,49,90.0
7,50,88.0
7,51,87.0
7,52,86.0
7,53,88.0
7,54,87.0
7,55,90.0
7,56,93.0
7,57,96.0
7,58,96.0
7,59,99.0
7,60,101.0
7,61,100.0
7,62,102.0
7,63,102.0
7,64,101.0
7,65,98.0
7,66,101.0
7,67,101.0
7,68,101.0
7,69,97.0
7,70,96.0
7,71,100.0
7,72,99.0
7,73,96.0
7,74,102.0
7,75,98.0
7,76,99.0
7,77,100.0
7,78,101.0
7,79,97.0
7,80,99.0
8,0,185.0
8,1,183.0
8,2,183.0
8,3,184.0
8,4,189.0
8,5,189.0
8,6,184.0
8,7,190.0
8,8,186.0
8,9,187.0
8,10,187.0
8,11,185.0
8,12,185.0
8,13,185.0
8,14,183.0
8,15,184.0
8,16,182.0
8,17,182.0
8,18,180.0
8,19,184.0
8,20,180.0
8,21,180.0
8,22,180.0
8,23,176.0
8,24,175.0
8,25,178.0
8,26,175.0
8,27,177.0
8,28,176.0
8,29,179.0
8,30,179.0
8,31,182.0
8,32,182.0
8,33,184.0
8,34,184.0
8,35,183.0
8,36,186.0
8,37,185.0
8,38,183.0
8,39,185.0
8,40,181.0
8,41,174.0
8,42,164.0
8,43,158.0
8,44,158.0
8,45,162.0
8,46,162.0
8,47,155.0
8,48,157.0
8,49,159.0
8,50,161.0
8,51,156.0
8,52,155.0
8,53,159.0
8,54,164.0
8,55,164.0
8,56,157.0
8,57,169.0
8,58,172.0
8,59,176.0
8,60,180.0
8,61,181.0
8,62,184.0
