roi_id,x_min,x_max,y_min,y_max
1,471,526,340,395
2,629,686,426,479
3,845,913,227,284
4,488,538,147,213
5,929,982,773,828
6,240,309,705,748
7,112,176,513,577
8,62,117,166,215
9,181,236,217,273
10,776,817,42,90
11,253,301,38,88
12,297,345,115,174
13,34,98,868,920
14,397,443,101,140
15,559,593,72,118
