roi_id,x_min,x_max,y_min,y_max
1,864,928,1081,1149
2,918,974,919,994
3,724,804,675,724
4,708,767,576,628
5,821,879,563,630
6,33,88,698,729
7,28,83,635,671
8,90,155,378,434
9,252,314,143,205
10,333,389,71,109
11,766,817,140,180
12,640,723,305,361
13,413,466,159,189
14,101,160,4,42
15,902,965,195,248
