path,column_name,assay,osmolyte,condition_mM,cell_id,rotation_direction,fps,source_kind,source_path,sign_adjustment,time_bin_s,reduction,frame_reference_fps
data/time-series/bead/adaption_300mM.parquet,cell11,Adaption,sucrose,300,cell11,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/300mM/freq-cell11.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_300mM.parquet,cell13,Adaption,sucrose,300,cell13,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/300mM/freq-cell13.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_300mM.parquet,cell2,Adaption,sucrose,300,cell2,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/300mM/freq-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_300mM.parquet,cell3,Adaption,sucrose,300,cell3,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/300mM/freq-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_300mM.parquet,cell5,Adaption,sucrose,300,cell5,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/300mM/freq-cell5.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_300mM.parquet,cell6,Adaption,sucrose,300,cell6,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/300mM/freq-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_300mM.parquet,cell7,Adaption,sucrose,300,cell7,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/300mM/freq-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_300mM.parquet,cell9,Adaption,sucrose,300,cell9,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/300mM/freq-cell9.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_400mM.parquet,cell1,Adaption,sucrose,400,cell1,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/400mM/freq-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_400mM.parquet,cell10,Adaption,sucrose,400,cell10,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/400mM/freq-cell10.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_400mM.parquet,cell12,Adaption,sucrose,400,cell12,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/400mM/freq-cell12.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_400mM.parquet,cell13,Adaption,sucrose,400,cell13,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/400mM/freq-cell13.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_400mM.parquet,cell15,Adaption,sucrose,400,cell15,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/400mM/freq-cell15.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_400mM.parquet,cell2,Adaption,sucrose,400,cell2,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/400mM/freq-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_400mM.parquet,cell7,Adaption,sucrose,400,cell7,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/400mM/freq-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_400mM.parquet,cell8,Adaption,sucrose,400,cell8,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/400mM/freq-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_500mM.parquet,cell13,Adaption,sucrose,500,cell13,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/500mM/freq-cell13.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_500mM.parquet,cell14,Adaption,sucrose,500,cell14,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/500mM/freq-cell14.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_500mM.parquet,cell2,Adaption,sucrose,500,cell2,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/500mM/freq-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/adaption_500mM.parquet,cell3,Adaption,sucrose,500,cell3,CCW,300,legacy_csv,data/Bead-assays/Adaption/speeds/500mM/freq-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_200mM.parquet,cell11,Clockwise,sucrose,200,cell11,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/200mM/freq-200-cell11.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_200mM.parquet,cell12,Clockwise,sucrose,200,cell12,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/200mM/freq-200-cell12.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_200mM.parquet,cell2,Clockwise,sucrose,200,cell2,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/200mM/freq-200-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_200mM.parquet,cell3,Clockwise,sucrose,200,cell3,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/200mM/freq-200-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_200mM.parquet,cell5,Clockwise,sucrose,200,cell5,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/200mM/freq-200-cell5.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_200mM.parquet,cell6,Clockwise,sucrose,200,cell6,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/200mM/freq-200-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_200mM.parquet,cell7,Clockwise,sucrose,200,cell7,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/200mM/freq-200-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_200mM.parquet,cell8,Clockwise,sucrose,200,cell8,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/200mM/freq-200-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_300mM.parquet,cell1,Clockwise,sucrose,300,cell1,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/300mM/freq-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_300mM.parquet,cell2,Clockwise,sucrose,300,cell2,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/300mM/freq-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_300mM.parquet,cell3,Clockwise,sucrose,300,cell3,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/300mM/freq-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_300mM.parquet,cell4,Clockwise,sucrose,300,cell4,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/300mM/freq-cell4.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_300mM.parquet,cell5,Clockwise,sucrose,300,cell5,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/300mM/freq-cell5.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_300mM.parquet,cell6,Clockwise,sucrose,300,cell6,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/300mM/freq-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_300mM.parquet,cell7,Clockwise,sucrose,300,cell7,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/300mM/freq-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_300mM.parquet,cell8,Clockwise,sucrose,300,cell8,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/300mM/freq-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_400mM.parquet,cell1,Clockwise,sucrose,400,cell1,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_400mM.parquet,cell2,Clockwise,sucrose,400,cell2,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_400mM.parquet,cell3,Clockwise,sucrose,400,cell3,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_400mM.parquet,cell4,Clockwise,sucrose,400,cell4,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell4.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_400mM.parquet,cell5,Clockwise,sucrose,400,cell5,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell5.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_400mM.parquet,cell6,Clockwise,sucrose,400,cell6,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_400mM.parquet,cell7,Clockwise,sucrose,400,cell7,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell7.csv,none,0.1,mean_bin,300
