track_id,frame,area,time_s,dff
1,0,125,0,-0.007148530579825303
1,1,124,5,-0.0150913423351867
1,2,127,10,0.008737092930897493
1,3,126,15,0.0007942811755360946
1,4,127,20,0.008737092930897493
1,5,130,25,0.032565528196981684
1,6,122,30,-0.030976965845909497
1,7,122,35,-0.030976965845909497
1,8,124,40,-0.0150913423351867
1,9,124,45,-0.0150913423351867
1,10,127,50,0.008737092930897493
1,11,123,55,-0.023034154090548098
1,12,126,60,0.0007942811755360946
1,13,123,65,-0.023034154090548098
1,14,123,70,-0.023034154090548098
1,15,123,75,-0.023034154090548098
1,16,124,80,-0.0150913423351867
1,17,123,85,-0.023034154090548098
1,18,124,90,-0.0150913423351867
1,19,125,95,-0.007148530579825303
1,20,123,100,-0.023034154090548098
1,21,123,105,-0.023034154090548098
1,22,124,110,-0.0150913423351867
1,23,123,115,-0.023034154090548098
1,24,124,120,-0.0150913423351867
1,25,125,125,-0.007148530579825303
1,26,126,130,0.0007942811755360946
1,27,127,135,0.008737092930897493
1,28,127,140,0.008737092930897493
1,29,127,145,0.008737092930897493
1,30,126,150,0.0007942811755360946
1,31,125,155,-0.007148530579825303
1,32,126,160,0.0007942811755360946
1,33,127,165,0.008737092930897493
1,34,123,170,-0.023034154090548098
1,35,125,175,-0.007148530579825303
1,36,130,180,0.032565528196981684
1,37,125,185,-0.007148530579825303
1,38,129,190,0.02462271644162029
1,39,124,195,-0.0150913423351867
1,40,124,200,-0.0150913423351867
1,41,120,205,-0.04686258935663229
1,42,118,210,-0.06274821286735509
1,43,116,215,-0.07863383637807789
1,44,113,220,-0.10246227164416208
1,45,115,225,-0.08657664813343928
1,46,115,230,-0.08657664813343928
1,47,118,235,-0.06274821286735509
1,48,117,240,-0.07069102462271648
1,49,114,245,-0.09451945988880067
1,50,112,250,-0.11040508339952347
1,51,110,255,-0.12629070691024627
1,52,109,260,-0.13423351866560768
1,53,112,265,-0.11040508339952347
1,54,112,270,-0.11040508339952347
1,55,115,275,-0.08657664813343928
1,56,118,280,-0.06274821286735509
1,57,115,285,-0.08657664813343928
1,58,121,290,-0.03891977760127089
1,59,122,295,-0.030976965845909497
1,60,124,300,-0.0150913423351867
1,61,121,305,-0.03891977760127089
1,62,122,310,-0.030976965845909497
1,63,121,315,-0.03891977760127089
1,64,123,320,-0.023034154090548098
1,65,122,325,-0.030976965845909497
