,500mM,400mM,300mM,200mM
0,26.007159570564852,22.54002058327403,14.63113046472862,15.85102160024209
1,36.92892561824245,23.422627844360406,17.91974149340395,18.674949595580962
2,38.662019265981066,23.08677964213289,12.850013509126898,4.524619379691705
3,23.81871032016498,20.930886244352564,10.503823447784963,14.012795925837379
4,20.699812148091244,25.128577298285556,36.50369127854586,25.099864225020784
5,17.315262142460547,22.387270220315287,21.81602543887056,23.916587219952095
6,24.450649718080353,6.5152116146980905,21.747277761958216,19.771155766603915
7,14.200173220366851,19.909139273551236,24.537322246506807,48.166875436824476
8,16.53774722803299,27.51455753166069,22.584835546463292,14.7625257976844
9,13.684428875398927,25.512408327938285,,
