,500mM,400mM,300mM,200mM
0,15.987031249098264,10.479069117961037,12.864169574754634,12.130868075257712
1,10.140848897014452,12.476681197438,8.046449331072857,7.457110368796864
2,14.689306766534791,10.56029532500063,16.510433395803474,10.894655967359355
3,4.43319888045125,9.692108258991912,16.520977563689392,30.20359588309683
4,8.104339730848672,15.18537899215535,19.118896407660575,19.14558571441976
5,3.5794768845492873,12.98092644732794,14.256074555303227,16.085936048580894
6,8.885347440520512,6.473290293627325,7.259839362054383,11.468351119322259
7,17.333973294640018,10.974350124169769,9.573924791701922,-1166917.6295112497
8,30.5487255902371,17.955381188792018,8.074282962670946,16.4102374216565
9,18.686977438242696,10.346810640886705,,
