,500mM,400mM,300mM,200mM
0,0.7781782372572674,0.6071690398444929,0.6733270712585795,0.21952416772730712
1,0.8947000763827018,0.8996355051840742,0.48545226983133183,0.345255251287929
2,0.7833256055548374,0.9643364785120272,0.8339672210452258,0.7221082912950302
3,0.996546208311995,0.8501974245296047,0.5906635159611482,0.507252849068764
4,0.7662102713834291,0.8432127083144678,0.5451858595820865,0.34279759265416376
5,1.1721207327969723,0.8763714658524429,0.5775150264323855,0.6271794183523902
6,1.009516827579536,0.8685708437932751,0.49769342284784734,0.3120151846856034
7,0.8616922671269485,0.8144698937257911,0.3593435356690888,0.227428699111922
8,0.935442975629787,0.8720999471027966,0.7744785049300498,0.34192324353444126
9,1.1216145688963082,0.7721175463285075,,
