,500mM,400mM,300mM,200mM
0,3.7097378553178526,7.898907485778265,6.580578225124305,5.519540172119901
1,4.8530745876708234,5.086229119287077,3.4374681416748873,4.357621056324416
2,5.493122995731222,1.553527350018371,3.111834916385628,12.171813544019686
3,3.698086881401434,4.875837605542483,4.706566932837054,9.673943071008521
4,1.4103731737904055,6.301320033587672,6.791254048282994,4.031028526249811
5,7.3564207128993395,9.388327449473273,3.3829620116807586,6.912208762054573
6,6.190790230192557,4.329615996967115,4.51013244765515,1.5383724903064933
7,3.526718984803844,2.1241910619855364,5.988365822108425,18.802023010384733
8,3.668624154096309,6.506023859581094,2.478781124641035,4.841440942218815
9,3.2859006363334906,5.598690389603262,,
