roi_id,x_min,x_max,y_min,y_max
1,315,371,795,864
2,121,205,542,600
3,273,342,286,350
4,188,260,222,267
5,535,599,37,98
6,644,684,16,52
7,781,849,27,86
8,838,893,207,255
9,767,820,730,772
10,675,739,682,725
11,574,650,666,694
12,628,687,770,812
13,734,805,886,942
14,864,928,775,818
15,356,431,1063,1102
