,0
0,14.925171609993512
1,17.094601702485928
2,17.824502467576703
3,18.245523924934922
4,18.599010173310987
5,19.511408205953142
6,20.132694359347994
7,20.132694359347994
8,20.74904381207095
9,20.80273468121222
10,21.74049695641308
11,21.74218201759258
12,22.01316752046373
13,23.020511498100735
14,23.020511498100735
15,23.064099997059866
16,24.544382197502138
17,24.544382197502138
18,24.54831466976784
19,24.54831466976784
20,24.54831466976784
21,24.551049217589394
22,25.248238034913243
23,25.248238034913243
24,25.628645748900627
25,25.628645748900627
26,25.631189531034785
27,25.639575526669127
28,25.639575526669127
29,25.685143088460272
30,25.812031017167758
31,25.950807157787356
32,26.009121754743916
33,26.009121754743916
34,26.194459821075437
35,26.194459821075437
36,26.346638605694107
37,26.432643536078974
38,26.44172730183547
39,26.44172730183547
40,26.44172730183547
41,26.528458295940506
42,27.39729412368724
43,28.343077370895962
44,28.343077370895962
45,28.343077370895962
46,27.39729412368724
47,27.39729412368724
48,28.343077370895962
49,28.686339722413244
50,28.686339722413244
51,28.686339722413244
52,28.686339722413244
53,28.343077370895962
54,28.343077370895962
55,28.343077370895962
56,27.39729412368724
57,27.39729412368724
58,28.343077370895962
59,28.686339722413244
60,28.343077370895962
61,28.343077370895962
62,27.39729412368724
63,28.343077370895962
64,28.781426400124396
65,28.343077370895962
66,28.343077370895962
67,28.781426400124396
68,28.94185577143527
69,29.753543379293227
70,29.753543379293227
71,30.383079894512868
72,30.429110949757373
73,30.429110949757373
74,30.429110949757373
75,30.429110949757373
76,30.429110949757373
77,30.768802331137504
78,30.768802331137504
79,30.768802331137504
80,30.768802331137504
81,30.383079894512868
82,30.095827950410577
83,30.095827950410577
84,30.383079894512868
85,30.095827950410577
86,29.753543379293227
87,29.753543379293227
88,28.94185577143527
89,29.753543379293227
90,28.94185577143527
91,28.781426400124396
92,28.781426400124396
93,28.781426400124396
94,28.781426400124396
95,28.781426400124396
96,28.781426400124396
97,28.343077370895962
98,28.343077370895962
99,28.781426400124396
100,28.343077370895962
101,28.343077370895962
102,28.343077370895962
103,28.781426400124396
104,28.781426400124396
105,28.94185577143527
106,28.94185577143527
107,28.94185577143527
108,29.624966841967662
109,29.624966841967662
110,29.753543379293227
111,30.095827950410577
112,30.095827950410577
113,29.753543379293227
114,30.095827950410577
115,30.383079894512868
116,30.383079894512868
117,30.46668940635547
118,30.383079894512868
119,30.46668940635547
120,30.383079894512868
121,30.383079894512868
122,30.383079894512868
123,30.383079894512868
124,30.46668940635547
125,30.383079894512868
126,30.46668940635547
127,30.46668940635547
128,30.46668940635547
129,30.383079894512868
130,30.383079894512868
131,30.46668940635547
132,30.767668581670844
133,30.46668940635547
134,30.46668940635547
135,30.46668940635547
136,30.46668940635547
137,30.767668581670844
138,30.81795580669112
139,30.767668581670844
140,30.46668940635547
141,30.46668940635547
142,30.383079894512868
143,30.383079894512868
144,30.46668940635547
145,30.383079894512868
146,30.383079894512868
147,30.383079894512868
148,30.383079894512868
149,30.331924259190853
150,30.331924259190853
151,30.331924259190853
152,30.331924259190853
153,30.331924259190853
154,30.331924259190853
155,30.331924259190853
156,30.331924259190853
157,30.095827950410577
158,29.624966841967662
159,28.779391694877816
160,28.779391694877816
161,29.624966841967662
162,28.779391694877816
163,28.779391694877816
164,28.341076637425683
165,28.779391694877816
166,28.341076637425683
167,28.779391694877816
168,28.341076637425683
169,28.160392310777954
170,28.160392310777954
171,28.160392310777954
172,28.160392310777954
173,28.160392310777954
174,28.141215255738505
175,28.06082059047183
176,28.141215255738505
177,28.141215255738505
178,28.06082059047183
179,28.06082059047183
180,27.925645925936614
181,28.06082059047183
182,28.141215255738505
183,28.141215255738505
184,28.141215255738505
185,28.06082059047183
186,28.06082059047183
187,27.925645925936614
188,27.925645925936614
189,28.06082059047183
190,27.925645925936614
191,27.925645925936614
192,27.501430287056298
193,27.501430287056298
194,26.364396832477706
195,26.364396832477706
196,26.362148552040786
197,26.362148552040786
198,26.354444283298676
199,25.56916097247991
200,25.56916097247991
201,25.552074315993853
