roi_id,x_min,x_max,y_min,y_max
1,279,342,803,872
2,100,166,761,804
3,126,213,1058,1094
4,167,234,1006,1049
5,30,95,1042,1071
6,475,525,948,1001
7,674,739,799,847
8,918,988,623,666
9,691,770,221,270
10,740,791,152,192
