frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
17,32560.941520467837,30713.26530612245,,30201.91780821918,28796.31506849315,32490.165413533836,34199.070796460175,34270.75301204819,33013.051020408166,32721.826666666668
18,32602.511904761905,30768.860927152316,,30120.21476510067,28843.659722222223,32329.881481481483,34240.15178571428,34329.90303030303,32971.51776649746,32743.275167785236
19,32659.289156626506,30729.74,,30146.448979591838,28901.248275862068,32437.893129770993,34357.39090909091,34324.80473372781,33025.817258883246,32778.71333333333
20,32619.070588235296,30779.114864864863,,30152.572413793103,28868.317567567567,32468.984962406015,34245.08849557522,34310.27950310559,32997.150753768845,32658.97385620915
21,32695.619883040934,30722.126666666667,,30181.172413793105,28887.1338028169,32543.93023255814,34265.22522522522,34305.1265060241,,32810.537414965984
22,32659.276470588236,30690.974522292992,,30187.590277777777,28849.81818181818,32445.85496183206,34249.02654867257,34324.430303030305,32934.63265306123,32637.7908496732
23,32575.520467836257,30783.145833333332,,30074.027777777777,28835.561643835616,32377.847328244276,34191.53982300885,34309.52469135803,32928.292929292926,32633.666666666668
24,32502.023255813954,30661.13157894737,,30140.635135135137,28832.95945945946,32379.038167938932,34192.51754385965,34218.19161676647,32938.79,32644.32
25,32683.54491017964,30701.4966442953,,30116.809523809523,28884.285714285714,32431.780303030304,34253.27272727273,34241.7245508982,32832.255,32617.87671232877
26,32502.664705882355,30788.646258503402,,30079.35135135135,28796.462585034013,32442.621212121212,34245.080357142855,34205.9,32864.0404040404,32591.753424657534
27,32581.76923076923,30714.8,,30161.29861111111,28823.76923076923,32469.166666666668,34182.29090909091,34233.12048192771,32883.595,32731.373333333333
28,32681.45806451613,30686.62837837838,,30018.657534246577,28725.503448275864,32371.03676470588,34093.33928571428,34162.33734939759,,32631.263513513513
29,32504.113095238095,30579.326666666668,,29950.714285714286,28817.801369863013,32326.333333333332,34170.34545454545,34233.666666666664,,32580.888157894737
30,32514.875,30577.65100671141,,29996.479166666668,28843.823943661973,32333.514492753624,34092.17117117117,34229.952662721895,32821.340101522845,32618.14285714286
31,32474.036585365855,30608.033333333333,,30049.70138888889,28824.164383561645,32389.75912408759,34093.56140350877,34212.502958579884,,32493.190476190477
32,32491.16149068323,30604.79591836735,,29980.58389261745,28713.472602739726,32191.109489051094,34056.65137614679,34099.982558139534,32791.03045685279,32451.775510204083
33,32319.221556886227,30474.145695364237,,29821.905405405407,28679.956834532375,32087.037037037036,33872.807339449544,34010.82035928144,32551.65989847716,32340.705479452055
34,32253.85542168675,30332.013422818793,,29744.61224489796,28581.27972027972,32127.108527131782,33876.027272727275,33874.976744186046,32556.615,32271.194444444445
35,32124.730538922155,30261.12925170068,,29611.068027210884,28426.8,32006.330827067668,33867.954545454544,33852.619883040934,32433.31313131313,32301.182432432433
36,32097.029585798817,30232.73103448276,,29703.662162162163,28445.53103448276,32041.398496240603,33748.59459459459,33842.67058823529,32490.507692307692,32185.208053691276
37,32138.095808383234,30265.04054054054,,29639.00684931507,28474.428571428572,32030.884615384617,33825.194444444445,33843.05263157895,32482.08040201005,32286.802721088436
38,32188.076470588236,30280.197278911564,,29632.632653061224,28440.985714285714,31968.549618320612,33852.36036036036,33849.82840236687,32454.76381909548,32264.442953020134
39,32263.118343195267,30398.537414965987,,29726.079470198674,28524.718309859156,32112.4609375,33951.351851851854,33985.611764705885,32570.223350253807,32383.72
40,33109.69005847953,31390.18493150685,,30655.304054054053,29289.434782608696,33197.346153846156,34855.34259259259,34970.13173652695,33420.86734693877,33248.72297297297
41,35384.22891566265,33472.76158940397,,32800.99342105263,31448.916666666668,35591.77358490566,36906.706422018346,37139.8954248366,35382.61734693877,35149.959731543626
42,36412.5,34640.29530201342,,34012.0071942446,32670.125,36864.43137254902,38010.24545454545,37896.43786982248,36453.701030927834,36078.561643835616
43,37014.15950920245,35188.150684931505,,34561.37837837838,33157.87671232877,37114.59649122807,38535.018867924526,38196.987421383645,37000.415384615386,36660.58904109589
44,37189.11976047904,35424.096551724135,,34845.50657894737,33374.82517482517,37146.86885245902,38766.84905660377,38395.944444444445,37208.78350515464,36801.39864864865
45,37254.958579881655,35524.78472222222,,34889.691780821915,33492.26573426573,36978.723577235774,38796.27358490566,38305.71779141104,37109.46153846154,36745.6644295302
46,37021.063953488374,35334.349315068495,,34714.275862068964,33244.99310344827,36890.88188976378,38538.21296296296,38115.5625,36994.617021276594,36599.04895104895
47,36809.47337278107,35150.91836734694,,34440.75,33038.12162162162,36636.01587301587,38468.56481481482,37960.54878048781,36768.989583333336,36427.4899328859
48,36698.448484848486,35010.194444444445,,34346.58156028369,32998.01351351351,36558.1679389313,38231.2037037037,37941.34939759036,36758.4793814433,36368.16216216216
49,36569.9476744186,34879.0625,,34382.7323943662,32823.04255319149,36459.43939393939,38247.95412844037,37913.06748466258,36667.141361256545,36320.13888888889
50,36594.03821656051,34793.892857142855,33966.846153846156,34193.28125,32836.33823529412,36494.015037593985,38109.68421052631,37860.86928104575,36561.230769230766,36284.80272108843
51,36753.44578313253,34993.92567567567,,34392.21276595745,32862.716312056735,36709.589147286824,38906.206896551725,38793.22839506173,36990.05789473684,36536.48051948052
52,36480.38181818182,34733.77551020408,,34135.44366197183,32706.812949640287,36301.03149606299,38057.46017699115,37803.65,36513.56994818653,36151.26351351351
53,36442.21428571428,34677.993006993005,,34100.59154929577,32632.801418439718,36294.66141732284,37939.46428571428,37739.175,36459.63684210526,36109.81879194631
54,36486.692307692305,34676.20529801324,,34084.35862068966,32773.546762589925,36257.186046511626,38015.88596491228,37948.11656441718,36742.8418367347,36265.89864864865
55,35870.78698224852,34113.561643835616,,33494.49659863945,32147.408759124086,35682.953125,37472.37837837838,37277.58860759494,35934.05076142132,35706.63333333333
56,33872.44705882353,32248.840277777777,,31603.73287671233,30091.172661870503,33815.3203125,35413.82456140351,35296.51898734177,33980.07106598985,33697.8322147651
57,32036.627906976744,30352.895104895106,,29742.801418439718,28550.5035971223,31946.889763779527,33549.36036036036,33515.48148148148,32228.937823834196,31807.815789473683
58,30975.406976744187,29304.14383561644,,28837.622377622378,27653.647887323943,30815.32283464567,32492.24347826087,32582.679012345678,31219.23076923077,30932.754966887416
59,30751.746987951807,28930.772727272728,,28517.16083916084,27371.223880597016,30364.706766917294,32194.466101694914,32277.323170731706,30904.41624365482,30579.986301369863
60,30532.51497005988,28844.20138888889,,28342.65034965035,27158.36170212766,30362.274809160306,32128.72807017544,32129.530487804877,30744.437185929648,30540.020547945205
61,30538.57396449704,28816.91891891892,,28292.034246575342,27262.14598540146,30365.231343283584,32291.609090909093,32178.746987951807,30915.08080808081,30596.445945945947
62,30792.81325301205,28918.098684210527,,28524.587837837837,27405.014492753624,30634.183823529413,32348.52727272727,32404.306748466257,31088.87373737374,30923.013422818793
63,30950.4012345679,29148.60135135135,,28613.212328767124,27586.58695652174,30856.440298507463,32666.18918918919,32696.803571428572,31293.807106598986,31042.39735099338
64,31308.268292682926,29443.16891891892,,28907.287671232876,27850.86567164179,31197.801470588234,32993.117117117115,33019.57396449704,31588.91414141414,31250.932432432433
65,31425.833333333332,29674.464516129032,,29096.220689655172,27868.401408450703,31261.090909090908,33148.318181818184,33100.07428571428,,31517.91447368421
66,31644.339393939394,29770.547297297297,,29158.850340136054,28075.323741007192,31347.423357664233,33392.05357142857,33248.629411764705,,31652.006666666668
67,31716.509316770185,29789.56551724138,,29278.755244755244,28149.244444444445,31472.90977443609,33351.0,33344.14201183432,32015.120603015075,31699.69178082192
68,31685.71856287425,29869.31543624161,,29312.858108108107,28200.66423357664,31610.736842105263,33401.78571428572,33320.09302325582,32028.289340101524,31788.238410596026
69,31743.789156626506,29928.45890410959,,29327.762589928057,28229.492753623188,31589.1875,33408.833333333336,33408.82840236687,32124.117346938776,31814.972972972973
70,31792.828402366864,29921.45890410959,,29353.374149659863,28237.726618705037,31658.679389312976,33455.30701754386,33342.73809523809,32067.235897435898,31821.614864864863
71,31917.994082840236,29947.278911564626,,29434.895833333332,28241.876811594204,31621.13076923077,33529.912280701756,33439.668639053256,32046.166666666668,31844.56375838926
72,31785.682352941178,29972.109589041094,,29390.64,28278.514492753624,31769.893129770993,33503.44247787611,33540.11309523809,32120.768844221104,31931.860927152316
73,31813.963855421687,29989.83870967742,,29365.235294117647,28336.0,31710.51127819549,33530.18918918919,33527.63473053892,,31955.844594594593
74,31950.081871345028,30025.533783783783,,29471.385135135137,28302.726618705037,31802.684615384616,33653.734513274336,33595.62721893491,32195.43216080402,31954.033333333333
75,31981.751479289942,30110.72,,29483.166666666668,28406.96323529412,31874.176923076924,33636.02654867257,33667.18823529412,,32176.54109589041
76,32025.96449704142,30183.10135135135,,29634.89864864865,28504.477941176472,31891.96153846154,33880.2,33743.77844311377,32363.27638190955,32125.469387755104
77,32260.45029239766,30336.81879194631,,29742.882352941175,28575.253623188404,32076.466165413534,33909.126126126124,33813.958823529414,32479.8391959799,32164.08552631579
78,32351.23214285714,30387.46052631579,,29923.957746478874,28643.941176470587,32214.26923076923,33923.58928571428,33944.55621301775,32617.812182741116,32348.466216216217
79,32475.666666666668,30628.304054054053,,29914.602739726026,28790.97810218978,32143.574626865673,34068.117117117115,34221.01204819277,32781.385,32450.5033557047
80,32582.077844311378,30735.806666666667,,30148.101449275364,28888.878571428573,32290.53237410072,34186.46551724138,34203.0,32946.04615384615,32624.844594594593
