frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
15,26815.32880921895,25770.68106580541,25568.143358876117,25514.459339774556,24431.50657894737,27279.924967658473,27972.18439716312,27909.560606060608,27216.131703005303,26894.375603864733
16,26839.145891988737,25774.332118266506,25574.361749680716,25528.346478873238,24440.968441814595,27266.28670120898,27987.401633522728,27929.541747572817,27219.379015620394,26910.2077294686
17,26848.48,25789.05445744252,25567.69189016603,25546.356595401372,24438.80672823219,27265.285157940285,27985.066074600356,27947.351708074533,27233.20005901446,26920.93530834341
18,26852.836959303815,25800.063286004057,25592.373243933587,25558.970469255662,24443.782093482554,27280.996112311015,28007.852627840908,27942.454862456412,27230.966076696164,26900.53478523896
19,26858.596827833204,25769.192805173807,25600.65485312899,25544.50363783347,24463.747534516766,27295.140146614922,27999.138750887156,27943.702218762166,27235.473156342185,26931.553539019962
20,26862.640604973083,25802.56229773463,25596.11877394636,25559.496774193547,24456.39248021108,27333.4630988347,28007.134991119005,27951.795428128633,27237.321323095097,26895.83585705633
21,26846.636923076923,25780.044426494347,25599.594508301405,25564.84112903226,24464.680236375574,27299.569582076692,27989.165779197727,27946.772093023257,27697.223456471194,26916.560651780324
22,26865.35185659411,25811.42805026348,25614.248084291186,25562.496977025392,24479.706964520366,27308.50150927124,28014.709058614564,27940.39403332042,27245.737090587194,26902.061780738946
23,26857.939743589744,25815.933844292053,25589.174010217113,25558.28456267634,24439.00065832785,27282.922678185747,27992.110479573712,27932.904411764706,27226.13116691285,26890.46901579587
24,26850.248332478193,25797.401699029127,25604.469029374202,25556.678123736354,24460.589591567852,27302.169330453562,27974.086120996442,27935.17708737864,27214.1270310192,26893.471869328492
25,26854.792370711726,25789.55645487657,25585.953384418903,25530.617623282134,24434.251481237658,27274.699654278305,27981.948618001417,27924.641165048542,27222.487149187593,26885.00603864734
26,26836.807170294494,25772.83670988655,25583.47477650064,25540.363121714516,24441.30348913759,27274.15168539326,27976.354758522728,27925.81298600311,27214.83466194272,26910.89981894991
