roi_id,x_min,x_max,y_min,y_max
1,11,62,1076,1126
2,760,842,962,1042
3,1000,1057,1008,1082
4,249,316,617,688
5,155,219,515,564
6,157,210,373,433
7,188,255,284,329
8,130,204,178,209
9,489,552,262,293
10,784,868,371,408
