frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
13,25609.999081726353,29347.929725609756,28370.01615845713,28590.019252046914,28015.859803232608,27698.531406138474,27601.73413130214,26679.619169656587,28827.382406841785,29397.68575678691
14,25591.964203763193,29313.855792682927,28349.05341323606,28565.092338352526,27941.994016191482,27679.745014245014,27565.228946409043,26662.641393442624,28787.797800855224,29370.85013015991
15,25580.382920110194,29297.57743902439,28342.296614583334,28549.869545957918,27942.07378777231,27660.90501600854,27574.99781897492,26652.89775051125,28771.385085574573,29353.501489203278
16,25594.129935720845,29293.482012195123,28325.770892996614,28536.185242632397,27956.10704225352,27669.83124776546,27564.54525627045,26654.776982097188,28770.28615009152,29365.038632986627
17,25582.850183823528,29277.309451219513,28328.303520208607,28525.65773743635,27930.363860514266,27652.400928239913,27553.806710430345,26645.598264420623,28772.40538885487,29363.154531946508
18,25564.63206247129,29273.47987804878,28311.948316366485,28531.624557522126,27920.45972564193,27651.03961456103,27531.66023306628,26632.11863543788,28744.05875152999,29319.797698589457
19,25542.990791896867,29239.59893292683,28277.729968782518,28496.114855875832,27913.94475721323,27624.95574589579,27515.97738051806,26611.306829765545,28713.49204406365,29306.879836309523
20,25514.69742883379,29227.78094512195,28260.671883150757,28475.283311199644,27867.082923401264,27595.345701034606,27488.900292184077,26595.170905391657,28691.450182260025,29292.256229081442
21,25503.293198529413,29202.883231707317,28268.332465503776,28476.62962143015,27886.710017574693,27609.815939957112,27490.71558963125,26579.571863890298,28708.08957952468,29300.55100521221
22,25461.14371257485,29175.608231707316,28202.013027618552,28428.215742793793,27813.637870239774,27563.97320471597,27441.701275045536,26533.189532520326,28621.51131498471,29231.97954629974
23,25458.439889451867,29158.054268292683,28210.19405320814,28432.859858532272,27833.111032781107,27556.24419020379,27453.891882053147,26538.86280487805,28664.159173754557,29238.65163934426
24,25446.85733944954,29135.320884146342,28182.215609501436,28406.512297806337,27812.155281690142,27515.38329764454,27413.899563318777,26517.01172870984,28616.242996345918,29201.5739292365
25,25442.497247706422,29121.59207317073,28179.564029151483,28387.02703900709,27810.104298801973,27505.500178635226,27418.365293474297,26499.84623270118,28609.132888349515,29206.501672240804
26,25451.824150596876,29132.114024390245,28164.590078328984,28396.71001329198,27819.852631578946,27511.707857142857,27416.12112367749,26518.485933503835,28610.793776693106,29206.4730383042
27,25398.756097560974,29082.745426829268,28123.384314747265,28346.960124058485,27751.020077492074,27477.431274544804,27375.551296093465,26464.778289810547,28544.547330097088,29156.426607209214
28,25404.24358974359,29100.593597560975,28125.595666927697,28338.641451006413,27763.05190677966,27477.3067572399,27384.25391621129,26483.748216106014,28567.008515815087,29157.904231625835
29,25378.8583908046,29071.115091463416,28106.585703104618,28320.80323151837,27738.273079633545,27435.068351726593,27333.146296971907,26438.93880673126,28545.33353584447,29133.515937731652
30,25350.441068139964,29039.780030487804,28090.718449128286,28318.24689716312,27723.35165609584,27417.452466047176,27329.70098576123,26414.253196930946,28520.810975609755,29095.271142433234
31,25393.88593678424,29060.711280487805,28110.231090245175,28340.830008865247,27747.16625659051,27447.401925820257,27349.72667638484,26446.16530194473,28521.838611449453,29127.17459138187
