roi_id,x_min,x_max,y_min,y_max
1,375,449,360,409
2,446,521,227,273
3,367,421,564,633
4,92,156,503,554
5,687,755,1000,1043
6,1061,1128,869,922
7,1079,1137,988,1055
8,653,709,769,817
9,563,631,472,519
10,809,884,459,523
11,740,791,348,387
12,238,312,155,192
13,175,251,84,135
14,544,606,1086,1131
15,592,648,230,294
