track_id,frame,fluorescence
1,0,5297.689152944371
1,1,5210.550093283582
1,2,5197.581859441918
1,3,5284.658193780408
1,4,5178.074709040069
1,5,5244.2870417272425
1,6,5347.950477295944
1,7,5363.689781089175
1,8,5296.219000933706
1,9,5310.073678466793
1,10,5244.163788577436
1,11,5249.616419286667
1,12,5321.945395449617
1,13,5392.588368287183
1,14,5317.553646804918
1,15,5397.229506921762
1,16,5269.817384571859
1,17,5366.333179478785
1,18,5402.314665045098
1,19,5432.538599518022
1,20,5388.0536158301475
1,21,5371.521407448534
1,22,5465.526320688856
1,23,5434.034519104087
1,24,5372.938996138997
1,25,5445.501214790562
1,26,5481.272779159157
1,27,5498.488699906804
1,28,5488.303079549558
1,29,5437.160593671502
1,30,5561.926102332673
1,31,5413.676756547506
1,32,5380.692370921341
1,33,5468.017979813652
1,34,5592.789561975769
1,35,5422.528554908702
1,36,5428.137935256833
1,37,5375.5215575556285
1,38,5483.393523935447
1,39,5396.980317120775
1,40,5403.232252267255
1,41,5349.161812100938
1,42,5339.125366876309
1,43,5194.973010933594
1,44,5386.486525013308
1,45,5333.744595900178
1,46,5236.902361915534
1,47,5182.419809518135
1,48,5235.370714207471
1,49,5220.008839975882
1,50,5332.325692716215
1,51,5326.048213550421
1,52,5279.468372963289
1,53,5280.017718900817
1,54,5351.0970828411955
1,55,5383.659021367188
1,56,5516.081635447477
1,57,5330.665574039722
1,58,5533.734549508466
1,59,5506.443858508152
1,60,5435.274415268625
1,61,5596.35955030633
1,62,5507.152957792314
1,63,5590.6942630597005
1,64,5558.225408937571
1,65,5580.489732586695
1,66,5510.663224047039
1,67,5604.743541040927
1,68,5511.9893479564125
1,69,5544.85359953867
1,70,5572.7274683405485
1,71,5566.3656473333685
1,72,5600.162200107014
1,73,5543.922635561583
1,74,5577.945013979497
1,75,5513.019279703305
1,76,5454.579460094843
1,77,5497.9033442614345
1,78,5554.059638053113
1,79,5556.813447559707
1,80,5534.407450879622
2,0,
2,1,
2,2,
2,3,
2,4,
2,5,
2,6,
2,7,
2,8,
2,9,
2,10,
2,11,
2,12,
2,13,
2,14,
2,15,
2,16,
2,17,
2,18,
2,19,
2,20,
2,21,
2,22,
2,23,
2,24,
2,25,
2,26,
2,27,
2,28,
2,29,
2,30,
2,31,
2,32,
2,33,
2,34,
2,35,
2,36,
2,37,
2,38,
2,39,
2,40,
2,41,
2,42,
2,43,
2,44,
2,45,
2,46,
2,47,
2,48,
2,49,
2,50,
2,51,
2,52,
2,53,
2,54,
2,55,
2,56,
2,57,
2,58,
2,59,
2,60,
2,61,
2,62,
2,63,
2,64,
2,65,
2,66,
2,67,
2,68,
2,69,
2,70,
2,71,
2,72,
2,73,
2,74,
2,75,
2,76,
2,77,
2,78,
2,79,
2,80,
3,0,5284.930683583156
3,1,5253.194376321197
3,2,5148.451447740117
3,3,5203.35129008922
3,4,5179.69771851808
3,5,5273.824497597496
3,6,5218.966987107833
3,7,5314.145331246742
3,8,5278.259674007244
3,9,5226.543972272451
3,10,5288.293255649714
3,11,5250.6943706496095
3,12,5190.799947145879
3,13,5279.911991953548
3,14,5321.444194855536
3,15,5339.216395951029
3,16,5306.266625498232
3,17,5390.969687750643
3,18,5367.5018987341755
3,19,5493.073843270817
3,20,5327.081175123327
3,21,5427.161845144947
3,22,5445.067968029856
3,23,5481.615670073203
3,24,5317.245350753299
3,25,5438.598946462233
3,26,5362.565238870491
3,27,5412.14455539178
3,28,5434.226317857741
3,29,5400.929892235879
3,30,5463.808844256513
