roi_id,x_min,x_max,y_min,y_max
1,40,105,479,551
2,335,399,230,308
3,345,402,141,181
4,236,302,87,127
5,629,689,694,731
6,661,720,617,667
7,515,560,509,571
8,857,916,624,671
9,881,938,710,751
10,675,745,824,885
