frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
15,23815.545128511654,24141.24921793535,25227.821597726554,25813.940249864205,25207.51001225991,25069.081291759467,24842.445157838418,22105.817415730337,26182.359500805152,25928.748670855486,25643.82073310424,25256.48034934498,24925.6445690974,25010.845213849287,25941.666111296236
16,23807.188136608747,24138.25313152401,25215.65402843602,25784.306022788933,25181.712183156174,25046.80904708936,24837.142653352355,22090.604430379746,26157.69734726688,25906.291505791505,25651.05942857143,25252.613618368963,24891.567732115676,24995.668928086838,25917.30853537031
17,23806.704191616765,24115.921989528797,25190.010426540284,25788.184782608696,25168.58828349037,25028.844878408254,24823.808158175987,22084.804011259675,26147.082897384305,25890.813829787236,25634.553846153845,25216.23779277491,24886.155679513184,24971.78979591837,25903.265353805073
18,23771.178057553956,24090.06757464641,25174.096713021492,25745.836856368565,25142.98854337152,25000.722427831235,24786.180310326377,22054.49964838256,26114.374798711757,25854.04547653604,25606.062785388127,25210.270634920635,24856.66835957339,24950.16078697422,25881.558911384003
19,23744.552220888356,24055.95305164319,25138.280303030304,25733.656926406926,25122.90114379085,24964.756106587713,24773.87809659597,22032.097363796132,26086.47666934835,25852.45406189555,25571.47257142857,25172.868943606038,24834.17285205897,24934.29008152174,25832.682136894826
20,23740.932934131735,24055.58894105373,25137.947268708558,25726.20760869565,25101.471574642128,24986.739517625232,24776.057397504457,22046.84639718805,26070.395086588804,25831.124334784712,25573.56881781839,25166.944906856916,24822.3043699187,24922.886024423336,25849.209666666666
21,23704.38788968825,23994.039205436486,25080.930533628038,25651.163320672815,25036.810401310402,24923.904708935854,24715.576114081996,21986.039043264158,26039.969428801287,25775.583697234353,25517.897260273974,25125.734126984127,24794.372975708502,24870.242692046228,25788.832058530097
22,23711.653477218224,24021.626173096975,25103.61327014218,25687.874864572048,25065.692024539876,24954.11934766494,24746.914647184603,22014.397471910113,26031.868410462776,25802.09636803874,25534.089611872147,25132.813586097946,24782.36211274759,24876.878644067798,25797.85277500831
23,24557.07411835027,24865.647274633124,25984.139564256395,26592.287723093563,25966.204498977506,25835.09793052476,25590.60916874777,22810.349278930706,26944.232782923882,26702.383422200677,26401.593500570125,25981.79673826571,25616.17413441955,25713.082880434784,26691.922
24,24678.11990407674,24993.334554973822,26139.16082148499,26728.314363143632,26095.868055555555,25966.52975970425,25754.299590090894,22910.379261862916,27097.12032193159,26839.126876513317,26596.60616438356,26167.05069306931,25823.264571718195,25913.26039536469,26875.716716716717
25,24464.674224343675,24788.49947807933,25916.08961817608,26511.5432770822,25875.010638297874,25721.59465478842,25546.63663931502,22659.625483984513,26877.36049779205,26636.67843326886,26410.738707833047,25980.328174603175,25648.977676306444,25754.441276306858,26685.1023595879
