roi_id,x_min,x_max,y_min,y_max
1,261,320,1057,1091
2,258,320,996,1033
3,308,381,755,803
4,479,527,513,559
5,340,387,349,407
6,380,444,240,287
7,731,810,82,157
8,7,77,84,130
9,632,687,507,557
10,554,615,435,473
11,994,1052,503,539
12,938,993,937,988
13,966,1017,1026,1072
14,1069,1101,928,983
15,886,965,684,725
